,output,target,rel_error
83,88.380066,10.0,7.8380065
107,88.5948,65.0,0.36299697
110,97.27408,80.0,0.21592598
75,88.910995,87.0,0.021965465
178,88.954285,90.0,0.011619059
152,89.44996,92.0,0.02771784
165,89.78632,95.0,0.054880805
93,89.211555,114.0,0.2174425
140,89.81816,137.0,0.344393
103,95.81689,145.0,0.33919388
99,94.85728,156.0,0.39194053
88,100.001595,157.0,0.36304718
54,113.15087,174.0,0.34970763
132,129.6686,179.0,0.27559444
0,139.57225,202.0,0.30904827
46,213.16069,220.0,0.031087771
98,234.82277,221.0,0.06254647
163,180.12384,229.0,0.21343301
123,244.21365,232.0,0.052645057
136,142.5006,238.0,0.401258
85,229.94525,242.0,0.04981301
56,257.1359,247.0,0.04103601
66,237.97913,252.0,0.055638388
22,226.35542,255.0,0.11233167
57,239.14435,257.0,0.069477245
150,264.6093,269.0,0.016322253
137,244.32588,274.0,0.1082997
27,274.3731,301.0,0.08846144
86,314.13568,302.0,0.040184375
174,276.41483,329.0,0.15983336
97,354.99353,338.0,0.050276715
134,363.32904,339.0,0.071767084
151,339.34253,360.0,0.057381865
109,414.87894,362.0,0.14607441
126,382.57867,365.0,0.04816075
60,373.18735,373.0,0.00050227187
82,390.11017,376.0,0.037527043
127,344.87283,381.0,0.09482196
154,423.48492,390.0,0.08585878
96,483.0511,403.0,0.19863793
26,427.14606,406.0,0.052083883
48,363.3171,419.0,0.13289472
5,560.3615,437.0,0.2822918
29,491.3466,445.0,0.10414964
157,503.05563,453.0,0.110498086
162,507.11417,454.0,0.11699156
179,597.6007,458.0,0.30480504
74,577.69214,470.0,0.2291322
58,613.49976,473.0,0.29703966
76,620.6269,486.0,0.27701005
39,611.8861,493.0,0.2411483
47,619.1636,500.0,0.23832715
90,671.44714,507.0,0.32435334
61,640.68744,507.0,0.26368332
51,627.48126,513.0,0.22316036
1,686.58344,535.0,0.2833335
69,716.71063,537.0,0.3346567
144,673.42163,540.0,0.24707709
9,763.30945,540.0,0.413536
79,685.5417,553.0,0.23967755
35,712.2733,566.0,0.25843343
168,747.84094,566.0,0.32127374
14,763.9601,578.0,0.32173026
170,759.9936,582.0,0.30583093
55,828.6975,601.0,0.3788644
143,862.6768,610.0,0.4142243
160,821.2737,616.0,0.3332365
42,800.50616,623.0,0.28492162
73,880.2824,634.0,0.38845807
131,860.6403,657.0,0.30995482
124,887.02496,660.0,0.3439772
23,850.95233,660.0,0.28932172
77,910.44946,669.0,0.360911
101,835.70325,671.0,0.24545938
28,994.29,689.0,0.4430914
50,983.0077,697.0,0.41034102
52,954.2558,719.0,0.3271986
34,985.03064,721.0,0.3662006
153,1050.0958,744.0,0.41141912
141,969.5589,746.0,0.2996768
148,1037.735,748.0,0.38734624
95,1044.2054,749.0,0.39413276
130,1032.467,761.0,0.3567241
159,1091.3734,766.0,0.42476946
11,1111.5812,783.0,0.4196439
117,1141.42,812.0,0.40568972
68,1228.0922,832.0,0.4760723
169,1261.5094,837.0,0.5071797
91,1120.1006,840.0,0.3334531
164,1244.0969,851.0,0.46192354
3,1228.031,856.0,0.43461567
114,1198.1134,866.0,0.38350278
37,1268.2285,895.0,0.4170151
15,1298.7444,901.0,0.4414477
102,1197.2477,906.0,0.32146543
2,1373.8547,918.0,0.49657378
65,1322.5625,926.0,0.42825323
121,1346.174,936.0,0.43822002
44,1238.5586,943.0,0.31342375
40,1452.2695,958.0,0.515939
92,1303.648,965.0,0.3509305
36,1455.6605,980.0,0.4853679
59,1438.6146,981.0,0.4664777
167,1424.7316,990.0,0.4391228
8,1416.8184,997.0,0.4210816
80,1517.7435,1024.0,0.48217142
106,1666.4913,1093.0,0.52469474
138,1622.3182,1129.0,0.4369515
100,1586.344,1149.0,0.3806301
30,1709.0135,1160.0,0.47328755
158,1648.5004,1192.0,0.3829701
45,1688.558,1207.0,0.398971
49,1725.746,1218.0,0.41686863
177,1733.3474,1236.0,0.40238464
20,1811.56,1242.0,0.45858297
21,1799.1985,1243.0,0.4474646
161,1784.3357,1267.0,0.40831545
116,1832.1887,1298.0,0.41154754
13,1748.8306,1315.0,0.32990918
89,1798.6063,1322.0,0.36051914
84,1916.0066,1368.0,0.40058962
24,1932.1007,1369.0,0.41132265
142,1842.6907,1380.0,0.3352831
105,1894.7257,1382.0,0.37100267
111,1957.4252,1402.0,0.39616632
53,1936.0042,1420.0,0.3633832
145,1903.3647,1421.0,0.33945444
125,1970.341,1482.0,0.3295148
12,2062.8708,1491.0,0.38354853
94,1942.3773,1516.0,0.28125152
128,2000.6184,1544.0,0.2957373
62,2135.0413,1547.0,0.38011718
6,1986.0276,1567.0,0.26740754
139,2220.1724,1581.0,0.40428358
146,2252.5332,1619.0,0.39131144
119,2192.2756,1631.0,0.34412977
10,2085.3362,1639.0,0.27232227
156,2111.5396,1641.0,0.28673953
43,2133.8223,1672.0,0.2762095
7,2181.3955,1687.0,0.29306194
175,2170.3008,1687.0,0.28648534
25,2252.6812,1689.0,0.33373663
112,2198.7068,1694.0,0.2979379
149,2389.131,1695.0,0.40951687
129,2360.7197,1706.0,0.38377476
147,2381.4236,1744.0,0.36549518
63,2256.847,1760.0,0.2822994
87,2319.9758,1763.0,0.31592503
31,2253.167,1764.0,0.27730554
172,2224.2778,1802.0,0.23433842
173,2380.4707,1847.0,0.2888309
133,2541.679,1883.0,0.34980294
176,2467.6465,1925.0,0.28189427
32,2692.8064,1944.0,0.3851885
113,2586.4944,1953.0,0.32436988
33,2499.7498,1957.0,0.27733764
70,2439.3713,1965.0,0.24141034
67,2571.4932,1993.0,0.2902625
166,2493.6636,1993.0,0.25121102
4,2534.7883,2000.0,0.26739416
118,2780.8672,2015.0,0.38008296
18,2708.05,2086.0,0.29820234
81,2602.9116,2087.0,0.2472025
19,2812.8518,2102.0,0.33817878
120,2759.8552,2110.0,0.30798826
38,2612.2861,2141.0,0.2201243
71,2859.408,2195.0,0.30269155
64,2670.0884,2273.0,0.17469792
72,2844.2034,2308.0,0.23232381
17,2945.6443,2336.0,0.26097786
104,3164.427,2362.0,0.33972353
122,2968.3772,2423.0,0.22508346
171,3125.2322,2463.0,0.26887217
41,3317.4568,2584.0,0.2838455
115,3477.1406,2728.0,0.27461165
155,3469.8682,2758.0,0.25811028
78,3373.4446,2781.0,0.21303293
135,3344.4133,2900.0,0.15324597
16,3949.6245,3358.0,0.1761836
108,3905.3904,3545.0,0.1016616
