,output,target,rel_error
83,22.899343,10.0,1.2899344
107,56.462734,65.0,0.13134255
110,87.82548,80.0,0.09781847
75,72.502594,87.0,0.16663685
178,75.348694,90.0,0.1627923
152,87.41221,92.0,0.0498673
165,93.17917,95.0,0.019166645
93,80.31367,114.0,0.29549414
140,98.11059,137.0,0.28386432
103,147.31058,145.0,0.015935017
99,147.01411,156.0,0.05760183
88,152.39793,157.0,0.029312523
54,170.53198,174.0,0.019931136
132,181.71175,179.0,0.01514942
0,193.13283,202.0,0.04389689
46,224.55357,220.0,0.020698061
98,231.51714,221.0,0.047588848
163,216.27287,229.0,0.055576973
123,228.75467,232.0,0.013988495
136,203.31342,238.0,0.14574195
85,250.03818,242.0,0.03321561
56,263.58514,247.0,0.06714633
66,247.83374,252.0,0.016532777
22,247.33765,255.0,0.030048445
57,210.81267,257.0,0.17971724
150,278.41095,269.0,0.034984943
137,257.81113,274.0,0.05908348
27,285.4332,301.0,0.051716954
86,301.65988,302.0,0.0011262199
174,296.56155,329.0,0.0985971
97,344.7698,338.0,0.020029012
134,336.1875,339.0,0.00829646
151,333.2626,360.0,0.07427055
109,361.76035,362.0,0.00066202914
126,369.06744,365.0,0.011143682
60,353.22452,373.0,0.053017378
82,373.377,376.0,0.006976026
127,338.77213,381.0,0.110834315
154,346.44708,390.0,0.111674145
96,435.6496,403.0,0.08101637
26,398.99344,406.0,0.01725754
48,340.97488,419.0,0.18621746
5,469.9369,437.0,0.07537045
29,434.21216,445.0,0.024242342
157,430.04608,453.0,0.050670903
162,436.43076,454.0,0.038698778
179,485.7383,458.0,0.060564
74,471.88202,470.0,0.004004296
58,499.91315,473.0,0.056898832
76,510.77728,486.0,0.05098206
39,515.0331,493.0,0.04469185
47,509.48938,500.0,0.01897876
90,517.2937,507.0,0.020303158
61,532.1941,507.0,0.04969249
51,510.78128,513.0,0.0043249894
1,535.29333,535.0,0.0005482896
69,562.092,537.0,0.04672622
144,547.6965,540.0,0.014252726
9,589.30164,540.0,0.091299325
79,523.0165,553.0,0.05421975
35,538.0919,566.0,0.049307562
168,541.0373,566.0,0.044103723
14,582.9153,578.0,0.00850395
170,587.3338,582.0,0.009164607
55,641.5733,601.0,0.06750966
143,654.40594,610.0,0.07279663
160,629.0658,616.0,0.021210708
42,611.3275,623.0,0.018735932
73,654.1623,634.0,0.031801723
131,646.6243,657.0,0.015792498
124,642.8532,660.0,0.025979985
23,622.2311,660.0,0.057225637
77,640.208,669.0,0.04303736
101,604.6991,671.0,0.09880909
28,737.4695,689.0,0.07034758
50,711.2403,697.0,0.02043084
52,688.9625,719.0,0.04177674
34,715.0521,721.0,0.008249481
153,755.7443,744.0,0.015785381
141,718.45215,746.0,0.036927413
148,650.4584,748.0,0.13040325
95,757.63275,749.0,0.011525703
130,730.436,761.0,0.040162977
159,768.965,766.0,0.0038707922
11,768.3474,783.0,0.018713394
117,804.6091,812.0,0.00910213
68,832.2244,832.0,0.00026974312
169,878.9662,837.0,0.050138813
91,824.48315,840.0,0.018472435
164,867.7002,851.0,0.019624202
3,872.37024,856.0,0.019124111
114,841.02905,866.0,0.028834812
37,923.1555,895.0,0.03145868
15,938.73193,901.0,0.04187784
102,863.19464,906.0,0.047246534
2,970.34607,918.0,0.057021864
65,928.0963,926.0,0.0022638375
121,996.07635,936.0,0.06418414
44,889.09564,943.0,0.057162628
40,1005.9459,958.0,0.050047938
92,913.7094,965.0,0.05315087
36,1042.361,980.0,0.063633636
59,1019.46924,981.0,0.03921431
167,1035.0549,990.0,0.04551003
8,1024.3732,997.0,0.027455535
80,1049.0332,1024.0,0.024446487
106,1145.1896,1093.0,0.047748923
138,1175.3287,1129.0,0.041035194
100,1189.4912,1149.0,0.035240393
30,1157.831,1160.0,0.0018697805
158,1185.3037,1192.0,0.005617692
45,1255.714,1207.0,0.04035956
49,1139.5399,1218.0,0.064417146
177,1272.7777,1236.0,0.029755428
20,1293.9163,1242.0,0.041800532
21,1284.4346,1243.0,0.03333433
161,1271.5963,1267.0,0.0036277138
116,1346.7056,1298.0,0.03752355
13,1293.9479,1315.0,0.016009219
89,1345.6149,1322.0,0.017862987
84,1420.305,1368.0,0.03823469
24,1437.1155,1369.0,0.049755644
142,1321.1344,1380.0,0.04265623
105,1406.0563,1382.0,0.017406855
111,1429.4014,1402.0,0.019544484
53,1379.044,1420.0,0.028842293
145,1430.2501,1421.0,0.0065095862
125,1528.8593,1482.0,0.03161893
12,1367.2064,1491.0,0.083027214
94,1530.1416,1516.0,0.009328233
128,1535.7574,1544.0,0.0053384416
62,1591.9275,1547.0,0.029041687
6,1495.1167,1567.0,0.0458732
139,1540.3016,1581.0,0.025742166
146,1652.8145,1619.0,0.020886011
119,1618.7548,1631.0,0.007507811
10,1695.2388,1639.0,0.034312855
156,1703.5592,1641.0,0.03812261
43,1641.0537,1672.0,0.018508546
7,1681.1666,1687.0,0.0034578387
175,1738.9786,1687.0,0.030811286
25,1758.6012,1689.0,0.041208524
112,1699.4028,1694.0,0.003189393
149,1768.863,1695.0,0.04357701
129,1663.4261,1706.0,0.024955366
147,1647.4437,1744.0,0.055364836
63,1790.2029,1760.0,0.017160729
87,1781.9893,1763.0,0.010770991
31,1831.8278,1764.0,0.03845111
172,1741.0674,1802.0,0.033813883
173,1854.4663,1847.0,0.0040423977
133,1812.6896,1883.0,0.03733958
176,1828.9999,1925.0,0.049870193
32,1912.4741,1944.0,0.016217016
113,2022.487,1953.0,0.03557965
33,1990.1,1957.0,0.01691363
70,1990.0999,1965.0,0.012773463
67,2077.0322,1993.0,0.042163685
166,1938.2158,1993.0,0.027488299
4,2040.6803,2000.0,0.020340148
118,2081.4001,2015.0,0.032952927
18,2109.3508,2086.0,0.01119407
81,2162.9438,2087.0,0.036389
19,2055.5708,2102.0,0.022088107
120,2166.5315,2110.0,0.026792178
38,2143.99,2141.0,0.0013965392
71,2238.8694,2195.0,0.019986052
64,2286.969,2273.0,0.00614562
72,2257.9614,2308.0,0.021680491
17,2370.9175,2336.0,0.014947551
104,2332.6206,2362.0,0.012438355
122,2471.427,2423.0,0.019986382
171,2505.868,2463.0,0.01740476
41,2662.0632,2584.0,0.030210229
115,2737.8284,2728.0,0.0036027746
155,2750.751,2758.0,0.0026283623
78,2842.7673,2781.0,0.022210477
135,2924.1282,2900.0,0.00832006
16,3150.8875,3358.0,0.06167735
108,3567.3762,3545.0,0.006312051
