,rel_error[%],rel_error_mean[%],rel_error_std[%]
0,88.32279,84.5258,9.802493
1,82.03042,84.5258,9.802493
2,91.814125,84.5258,9.802493
3,60.897793,84.5258,9.802493
4,89.52682,84.5258,9.802493
5,90.52856,84.5258,9.802493
6,89.04556,84.5258,9.802493
7,84.48783,84.5258,9.802493
8,81.58342,84.5258,9.802493
9,91.317894,84.5258,9.802493
10,90.632545,84.5258,9.802493
11,89.83232,84.5258,9.802493
12,91.621155,84.5258,9.802493
13,91.15779,84.5258,9.802493
14,80.70664,84.5258,9.802493
15,90.056404,84.5258,9.802493
16,84.05026,84.5258,9.802493
17,91.57224,84.5258,9.802493
18,91.64528,84.5258,9.802493
19,86.79567,84.5258,9.802493
20,85.60604,84.5258,9.802493
21,91.985664,84.5258,9.802493
22,60.07662,84.5258,9.802493
23,82.31715,84.5258,9.802493
24,89.34753,84.5258,9.802493
25,77.2303,84.5258,9.802493
26,89.68644,84.5258,9.802493
27,86.99338,84.5258,9.802493
28,90.25449,84.5258,9.802493
29,89.499504,84.5258,9.802493
30,90.94555,84.5258,9.802493
31,89.47201,84.5258,9.802493
32,82.29609,84.5258,9.802493
33,85.495155,84.5258,9.802493
34,91.32365,84.5258,9.802493
35,84.53291,84.5258,9.802493
36,91.64614,84.5258,9.802493
37,80.67011,84.5258,9.802493
38,91.062874,84.5258,9.802493
39,42.97767,84.5258,9.802493
40,56.711555,84.5258,9.802493
41,89.79942,84.5258,9.802493
42,75.62603,84.5258,9.802493
43,87.97305,84.5258,9.802493
44,82.226616,84.5258,9.802493
45,90.835915,84.5258,9.802493
46,89.208916,84.5258,9.802493
47,88.32387,84.5258,9.802493
48,91.20552,84.5258,9.802493
49,87.58526,84.5258,9.802493
50,85.15433,84.5258,9.802493
51,89.94188,84.5258,9.802493
52,85.69057,84.5258,9.802493
53,87.618416,84.5258,9.802493
54,91.353264,84.5258,9.802493
55,91.925446,84.5258,9.802493
56,88.586754,84.5258,9.802493
57,83.244446,84.5258,9.802493
58,89.92153,84.5258,9.802493
59,91.34053,84.5258,9.802493
60,52.002167,84.5258,9.802493
61,80.886215,84.5258,9.802493
62,89.32532,84.5258,9.802493
63,35.715523,84.5258,9.802493
64,83.26085,84.5258,9.802493
65,76.29701,84.5258,9.802493
66,86.5096,84.5258,9.802493
67,90.772804,84.5258,9.802493
68,81.33363,84.5258,9.802493
69,87.10071,84.5258,9.802493
70,88.08507,84.5258,9.802493
71,90.656136,84.5258,9.802493
72,89.97198,84.5258,9.802493
73,92.8435,84.5258,9.802493
74,86.73879,84.5258,9.802493
75,90.71087,84.5258,9.802493
76,86.06837,84.5258,9.802493
77,90.41864,84.5258,9.802493
78,78.20512,84.5258,9.802493
79,87.56706,84.5258,9.802493
80,75.97064,84.5258,9.802493
81,87.24148,84.5258,9.802493
82,86.67162,84.5258,9.802493
83,83.14831,84.5258,9.802493
84,91.462616,84.5258,9.802493
85,91.35685,84.5258,9.802493
86,89.785774,84.5258,9.802493
87,91.52985,84.5258,9.802493
88,90.5765,84.5258,9.802493
89,88.418976,84.5258,9.802493
90,90.24016,84.5258,9.802493
91,89.06931,84.5258,9.802493
92,91.05793,84.5258,9.802493
93,82.60315,84.5258,9.802493
94,89.5452,84.5258,9.802493
95,61.526905,84.5258,9.802493
96,86.470184,84.5258,9.802493
97,90.8637,84.5258,9.802493
98,87.825195,84.5258,9.802493
99,91.24176,84.5258,9.802493
100,90.993256,84.5258,9.802493
101,91.58074,84.5258,9.802493
102,83.086685,84.5258,9.802493
103,91.38582,84.5258,9.802493
104,90.65481,84.5258,9.802493
105,77.34158,84.5258,9.802493
106,85.85811,84.5258,9.802493
107,72.20055,84.5258,9.802493
108,45.401833,84.5258,9.802493
109,87.02473,84.5258,9.802493
110,90.63654,84.5258,9.802493
111,87.28699,84.5258,9.802493
112,91.80212,84.5258,9.802493
113,88.98069,84.5258,9.802493
114,85.936455,84.5258,9.802493
115,76.65071,84.5258,9.802493
116,91.756836,84.5258,9.802493
117,90.54168,84.5258,9.802493
118,73.313126,84.5258,9.802493
119,91.48807,84.5258,9.802493
120,77.56404,84.5258,9.802493
121,86.645836,84.5258,9.802493
122,82.48606,84.5258,9.802493
123,74.1895,84.5258,9.802493
124,90.435555,84.5258,9.802493
125,76.409706,84.5258,9.802493
126,82.85034,84.5258,9.802493
127,89.59427,84.5258,9.802493
128,92.010994,84.5258,9.802493
129,75.00596,84.5258,9.802493
130,89.44896,84.5258,9.802493
131,73.54077,84.5258,9.802493
132,85.06453,84.5258,9.802493
133,90.7371,84.5258,9.802493
134,91.413345,84.5258,9.802493
135,87.04505,84.5258,9.802493
136,70.76719,84.5258,9.802493
137,92.38077,84.5258,9.802493
138,91.09053,84.5258,9.802493
139,36.309834,84.5258,9.802493
140,86.722115,84.5258,9.802493
141,91.2784,84.5258,9.802493
142,84.74046,84.5258,9.802493
143,87.11173,84.5258,9.802493
144,85.78386,84.5258,9.802493
145,90.71477,84.5258,9.802493
146,81.51769,84.5258,9.802493
147,84.81378,84.5258,9.802493
148,87.58587,84.5258,9.802493
149,74.74758,84.5258,9.802493
150,85.33339,84.5258,9.802493
151,76.718765,84.5258,9.802493
152,88.88796,84.5258,9.802493
153,73.66273,84.5258,9.802493
154,82.60055,84.5258,9.802493
155,89.258156,84.5258,9.802493
156,84.20384,84.5258,9.802493
157,84.216705,84.5258,9.802493
158,81.85028,84.5258,9.802493
159,81.98735,84.5258,9.802493
160,83.49325,84.5258,9.802493
161,87.878975,84.5258,9.802493
162,66.39305,84.5258,9.802493
163,84.18722,84.5258,9.802493
164,91.898636,84.5258,9.802493
165,87.63732,84.5258,9.802493
166,89.64388,84.5258,9.802493
167,86.47514,84.5258,9.802493
