,output,target,rel_error
63,94.870026,114.0,0.16780679
139,67.919945,114.0,0.404211
39,142.66257,132.0,-0.08077703
108,117.90832,135.0,0.12660505
60,140.90271,155.0,0.09095026
40,172.85907,174.0,0.00655707
22,173.23814,193.0,0.10239304
3,185.01651,194.0,0.04630665
95,227.84555,203.0,-0.12239187
172,182.5902,218.0,0.1624303
162,220.58624,229.0,0.036741298
136,260.38947,269.0,0.032009423
107,332.90414,298.0,-0.117128
118,299.1323,301.0,0.006205004
131,308.3185,301.0,-0.024313994
123,329.26453,313.0,-0.051963344
153,296.8252,318.0,0.06658743
129,315.9363,326.0,0.030870216
42,299.37006,329.0,0.09006062
149,267.555,330.0,0.1892273
65,358.67252,346.0,-0.03662577
80,381.55576,346.0,-0.1027623
125,337.2417,360.0,0.063217506
115,300.07465,363.0,0.17334808
105,369.55505,367.0,-0.006961999
25,282.21487,369.0,0.23519005
120,377.57758,371.0,-0.017729314
151,379.0055,371.0,-0.021578148
176,353.77942,373.0,0.05152971
78,377.6313,381.0,0.008841767
173,394.04382,434.0,0.092064925
37,456.63074,457.0,0.00080801465
14,377.6425,461.0,0.1808189
61,450.9306,465.0,0.030256767
169,490.3101,473.0,-0.036596384
158,494.14444,479.0,-0.031616785
68,505.0772,489.0,-0.03287773
159,524.3932,491.0,-0.06801057
8,507.28122,493.0,-0.028967991
44,522.85144,494.0,-0.058403727
32,527.9029,498.0,-0.06004597
23,530.2659,500.0,-0.060531862
122,561.3411,507.0,-0.107181706
126,538.66675,513.0,-0.050032645
93,494.743,515.0,0.03933396
1,504.31143,516.0,0.022652265
146,548.2631,531.0,-0.03251059
102,540.45496,533.0,-0.013986784
64,547.4094,537.0,-0.019384403
160,562.7327,547.0,-0.028761841
16,517.71484,555.0,0.06718046
154,579.1858,566.0,-0.023296451
83,503.83685,567.0,0.111398846
57,540.1084,567.0,0.04742787
156,599.0309,578.0,-0.03638561
163,607.19574,582.0,-0.04329165
7,677.352,601.0,-0.12704158
50,573.87994,605.0,0.051438108
157,562.98126,609.0,0.07556443
147,623.02954,615.0,-0.013056165
142,641.81006,632.0,-0.015522244
35,657.32007,639.0,-0.028669903
106,554.87665,643.0,0.13705032
132,587.3218,648.0,0.09363923
33,663.1951,661.0,-0.003320922
52,706.7323,674.0,-0.048564244
144,690.6851,675.0,-0.023237213
114,647.5976,679.0,0.04624802
178,775.5507,689.0,-0.12561788
96,683.4209,692.0,0.012397545
20,719.964,692.0,-0.04041039
66,708.7455,702.0,-0.0096089505
179,695.0849,706.0,0.015460482
121,697.2495,709.0,0.016573327
76,703.6928,741.0,0.050347086
74,769.2047,749.0,-0.026975583
150,771.1933,755.0,-0.021448078
27,756.7657,757.0,0.00030952969
167,639.31256,758.0,0.15657973
135,732.478,761.0,0.037479594
111,745.13947,763.0,0.023408303
140,752.83624,766.0,0.017185062
109,841.79443,772.0,-0.0904073
82,730.6907,783.0,0.066806294
81,835.85675,786.0,-0.06343098
79,838.1748,800.0,-0.047718506
19,792.0641,803.0,0.01361882
69,807.0688,826.0,0.022919144
143,790.8679,832.0,0.049437597
49,802.7247,845.0,0.050029974
53,767.529,867.0,0.11473011
165,911.8902,874.0,-0.04335263
47,963.00287,895.0,-0.07598086
43,873.72437,913.0,0.043018218
56,951.88257,955.0,0.0032643264
148,1000.56757,958.0,-0.044433784
98,996.3568,970.0,-0.027171971
70,961.1888,971.0,0.010104241
177,907.66766,975.0,0.069058806
152,968.2458,976.0,0.007944888
161,973.89746,995.0,0.021208582
89,921.9129,998.0,0.07623958
6,1086.1141,1019.0,-0.065862745
91,1101.4158,1040.0,-0.059053626
46,990.1817,1049.0,0.056070827
166,1068.5198,1069.0,0.0004492279
24,1117.2677,1073.0,-0.04125601
62,1012.6925,1077.0,0.059709836
0,1132.0189,1083.0,-0.04526216
