,rel_mean[%],rel_std[%]
0,34.086456,38.402683
1,28.909441,37.562267
2,37.015514,38.97159
3,45.586018,29.265366
4,34.457764,39.11902
5,32.33601,41.189503
6,34.67789,38.450893
7,32.49985,37.107784
8,30.109877,36.417248
9,33.78569,40.875263
10,34.825672,39.825798
11,34.56419,39.23187
12,40.411175,36.55365
13,35.8601,39.55843
14,42.071365,27.58429
15,34.78326,39.182774
16,38.589237,33.000816
17,35.180862,39.989944
18,35.96234,39.58591
19,32.04552,38.80834
20,31.811281,38.04531
21,37.02735,39.35271
22,45.068745,24.706417
23,33.774944,34.439957
24,34.220055,39.03574
25,47.617264,22.271584
26,33.35786,39.896038
27,31.167953,39.562225
28,34.36404,39.61627
29,32.57756,40.367924
30,37.390423,38.524296
31,34.46354,39.247883
32,34.370087,34.078907
33,30.179289,39.15505
34,36.591686,38.89032
35,31.921122,37.269768
36,34.484665,40.634556
37,30.92744,35.51013
38,35.406033,39.773556
39,36.612347,21.1835
40,42.873276,30.436846
41,32.765762,40.3667
42,45.214546,27.504652
43,32.2937,39.371445
44,34.708954,33.85809
45,35.012985,39.82881
46,32.345425,40.232327
47,32.740314,39.362995
48,35.234287,39.642838
49,30.90603,40.12761
50,38.507805,33.98764
51,33.286324,40.09741
52,30.66154,38.936428
53,34.401413,37.74988
54,39.22928,37.106323
55,36.65611,39.63312
56,30.720446,40.93504
57,30.314585,37.434174
58,33.64123,39.880474
59,36.2228,39.18246
60,47.492275,29.68187
61,32.50725,34.480904
62,32.521423,40.19486
63,48.04549,31.780607
64,32.875214,35.935375
65,37.022625,29.946339
66,33.702637,37.697083
67,34.63626,39.878143
68,28.882158,37.09238
69,31.972488,39.01982
70,33.443977,38.861977
71,35.402332,39.357384
72,36.598133,37.96143
73,37.16572,39.79262
74,30.486849,39.77708
75,35.284855,39.35961
76,31.274881,38.756355
77,32.152016,41.250908
78,37.13571,31.749445
79,32.266018,39.10395
80,35.149117,29.094196
81,31.524336,39.45857
82,31.526365,39.0571
83,37.12038,32.63666
84,35.57998,39.719944
85,36.5828,39.433697
86,35.38803,38.947098
87,34.7681,40.371346
88,34.567043,39.850273
89,32.112175,39.927227
90,32.892563,40.653835
91,35.424343,37.99656
92,34.110348,40.36641
93,34.149597,34.609085
94,33.35892,39.823647
95,36.66388,20.124014
96,34.80594,37.073906
97,35.168537,39.44251
98,34.23847,38.087677
99,35.027813,39.97539
100,35.25771,39.5301
101,34.076344,40.661777
102,32.7901,35.92851
103,33.37959,41.121994
104,32.475807,41.16104
105,35.57708,31.666672
106,43.086327,30.940754
107,31.996801,28.42873
108,48.446037,30.537516
109,32.995228,38.286255
110,39.976944,36.128582
111,34.54154,37.599
112,39.05225,37.756405
113,36.33452,37.304756
114,34.316708,36.63804
115,41.9371,25.249067
116,36.126675,39.830406
117,35.034657,39.414787
118,38.553524,29.761356
119,36.026554,39.56225
120,36.154556,31.338116
121,34.215668,37.43375
122,34.59909,33.861244
123,38.225357,28.242704
124,32.617077,40.96201
125,34.638287,30.153564
126,35.125717,34.13131
127,34.504307,38.95475
128,36.50435,39.602066
129,38.56349,29.368729
130,33.125057,39.863586
131,40.33459,29.21965
132,34.21099,35.962
133,33.58772,40.55759
134,36.07245,39.246006
135,33.18425,38.14026
136,42.418884,28.634607
137,36.628437,39.94491
138,35.33782,39.507927
139,56.533367,25.74805
140,29.774035,40.26982
141,36.65523,38.940308
142,28.857405,39.518703
143,31.957535,39.002617
144,31.223259,38.60282
145,36.371376,38.57794
146,29.598824,36.71355
147,31.898794,37.56861
148,34.333244,37.749462
149,43.88126,23.170097
150,29.165134,39.726456
151,28.715702,34.007404
152,29.979689,41.655018
153,33.959614,28.725662
154,28.81758,38.031727
155,34.402576,39.088665
156,32.887127,36.404613
157,32.67549,36.449028
158,34.83434,33.907093
159,33.50076,34.34381
160,32.836758,36.01869
161,30.35718,40.676308
162,44.4398,28.854185
163,32.15024,36.82512
164,36.854084,39.547245
165,34.377663,37.763203
166,30.36295,41.921597
167,38.903896,33.64084
168,35.207558,40.163532
169,29.358677,36.2029
170,35.123558,39.578133
171,31.469095,41.27057
172,51.506363,25.142372
173,40.35138,29.670774
174,34.649563,39.341545
175,36.199894,39.66804
176,34.73684,30.818144
177,31.955612,40.192055
178,34.481396,36.460125
179,33.24645,37.84322
