,output,target,rel_error
63,13.47624,114.0,0.88178736
139,11.148984,114.0,0.9022019
39,58.82493,132.0,0.5543566
108,22.200024,135.0,0.8355554
60,33.848778,155.0,0.7816208
40,55.146137,174.0,0.6830682
22,73.12508,193.0,0.6211136
3,61.397938,194.0,0.6835158
95,134.49503,203.0,0.33746293
172,64.22396,218.0,0.7053946
162,90.22413,229.0,0.60600823
136,131.87376,269.0,0.50976294
107,267.12146,298.0,0.10361926
118,181.4526,301.0,0.3971674
131,171.97386,301.0,0.42865828
123,208.71556,313.0,0.33317712
153,254.59622,318.0,0.19938295
129,209.41011,326.0,0.3576377
42,167.8377,329.0,0.489855
149,209.69861,330.0,0.36454967
65,244.76878,346.0,0.29257578
80,285.60794,346.0,0.17454353
125,289.20386,360.0,0.19665596
115,252.6337,363.0,0.3040394
105,268.01297,367.0,0.26971942
25,219.0301,369.0,0.40642247
120,269.45044,371.0,0.2737185
151,349.55856,371.0,0.05779363
176,297.05478,373.0,0.20360649
78,264.34625,381.0,0.30617782
173,303.53204,434.0,0.3006174
37,408.46933,457.0,0.10619403
14,340.61877,461.0,0.26113063
61,408.2987,465.0,0.121938266
169,497.04248,473.0,0.05082977
158,393.0866,479.0,0.1793599
68,485.72406,489.0,0.0066992636
159,440.6474,491.0,0.10255112
8,470.80792,493.0,0.045014355
44,422.42325,494.0,0.14489222
32,431.8503,498.0,0.1328307
23,442.64456,500.0,0.114710875
122,461.1398,507.0,0.09045404
126,431.32953,513.0,0.1592017
93,440.08206,515.0,0.14547172
1,509.4531,516.0,0.012687801
146,507.32944,531.0,0.04457733
102,466.44458,533.0,0.12486946
64,472.3469,537.0,0.120396845
160,488.25095,547.0,0.107402295
16,423.89545,555.0,0.23622441
154,565.0263,566.0,0.0017203072
83,477.57816,567.0,0.15771048
57,556.48987,567.0,0.018536387
156,523.631,578.0,0.09406405
163,543.7171,582.0,0.06577817
7,607.89685,601.0,0.0114756245
50,461.6017,605.0,0.23702195
157,577.5264,609.0,0.051680744
147,564.7276,615.0,0.08174374
142,638.1867,632.0,0.0097890925
35,699.71674,639.0,0.095018364
106,461.18216,643.0,0.2827649
132,602.13025,648.0,0.070786655
33,638.4581,661.0,0.03410268
52,673.154,674.0,0.0012552053
144,646.2241,675.0,0.042630933
114,603.96625,679.0,0.11050627
178,732.94824,689.0,0.063785546
96,586.75903,692.0,0.15208232
20,740.0332,692.0,0.06941214
66,617.0087,702.0,0.12107019
179,632.6769,706.0,0.10385711
121,617.27344,709.0,0.12937456
76,768.529,741.0,0.037151136
74,743.6996,749.0,0.0070766555
150,747.66754,755.0,0.009711865
27,718.2329,757.0,0.05121148
167,655.5079,758.0,0.13521388
135,704.3168,761.0,0.07448519
111,667.4962,763.0,0.12516879
140,781.71484,766.0,0.020515462
109,805.25433,772.0,0.04307556
82,800.13934,783.0,0.021889327
81,789.3898,786.0,0.004312685
79,775.81805,800.0,0.030227432
19,875.3504,803.0,0.090100124
69,888.5525,826.0,0.07572941
143,872.2538,832.0,0.04838195
49,855.5272,845.0,0.012458251
53,839.79095,867.0,0.03138298
165,981.60425,874.0,0.123116985
47,928.1089,895.0,0.03699317
43,964.87354,913.0,0.056816578
56,997.7635,955.0,0.044778522
148,1074.8446,958.0,0.121967226
98,1098.7733,970.0,0.132756
70,1089.5463,971.0,0.12208678
177,983.247,975.0,0.008458471
152,991.2201,976.0,0.015594358
161,983.6646,995.0,0.01139235
89,1011.9352,998.0,0.013963107
6,1117.9395,1019.0,0.097094655
91,1170.3342,1040.0,0.12532137
