,output,target,rel_error
162,67.31348,82.0,0.17910394
55,74.68689,92.0,0.18818597
114,85.22784,102.0,0.16443297
138,88.633736,109.0,0.18684646
159,121.872505,145.0,0.15949996
104,137.40057,154.0,0.10778848
168,142.94157,161.0,0.11216414
30,127.2421,162.0,0.21455492
26,176.16637,172.0,0.024223061
121,146.43073,179.0,0.18195125
22,137.7187,181.0,0.23912318
81,248.91248,221.0,0.1263008
14,180.27142,225.0,0.19879368
44,166.18286,229.0,0.27431065
48,227.65714,231.0,0.014471277
41,160.0712,231.0,0.3070511
20,147.26352,235.0,0.37334672
28,169.33905,236.0,0.28246164
24,260.21667,247.0,0.053508803
157,214.56273,255.0,0.15857753
172,240.50415,288.0,0.16491614
12,247.25052,304.0,0.18667592
10,224.5764,329.0,0.31739697
173,283.07962,337.0,0.16000113
103,305.03415,338.0,0.0975321
84,301.2027,344.0,0.12441076
70,282.7824,344.0,0.17795812
49,280.81192,346.0,0.18840486
169,316.29877,346.0,0.085841715
63,381.8726,348.0,0.097335026
57,293.52472,372.0,0.21095505
119,369.2689,387.0,0.04581682
47,373.9969,432.0,0.13426647
134,273.62448,434.0,0.36952886
160,318.48965,445.0,0.2842929
35,322.6032,446.0,0.27667442
101,312.59903,448.0,0.30223432
58,320.46793,453.0,0.2925653
130,423.64893,457.0,0.07297828
71,459.26395,458.0,0.0027597086
94,426.40857,461.0,0.07503564
50,393.77832,467.0,0.15679161
82,442.50363,481.0,0.08003403
75,494.68622,489.0,0.011628258
127,418.25986,507.0,0.17502987
91,450.34967,507.0,0.11173635
31,398.3784,508.0,0.21579057
124,394.98224,513.0,0.23005411
132,522.69727,516.0,0.012979197
17,429.33795,519.0,0.17275925
32,421.62473,526.0,0.19843209
123,411.48636,535.0,0.23086663
179,418.81686,540.0,0.22441322
40,484.12518,545.0,0.111696914
145,451.5342,549.0,0.17753331
88,593.42596,562.0,0.055918086
166,519.6912,566.0,0.08181763
7,426.58817,572.0,0.2542165
74,492.41946,582.0,0.15391845
87,627.3979,602.0,0.042189185
38,413.32727,605.0,0.31681442
