,output,target,rel_error
107,63.663765,65.0,0.020557463
5,64.61855,71.0,0.089879535
62,67.268845,102.0,0.34050152
78,70.835434,126.0,0.43781403
170,69.74783,135.0,0.48334938
53,77.140884,154.0,0.49908516
165,72.931015,155.0,0.5294773
37,77.37042,161.0,0.5194384
30,72.88834,163.0,0.55283225
67,81.215645,178.0,0.54373235
146,85.16005,193.0,0.55875623
52,93.22481,211.0,0.5581763
111,89.80383,220.0,0.59180075
16,99.0199,220.0,0.54990953
117,99.93034,229.0,0.56362295
48,122.95153,269.0,0.5429311
63,153.75436,288.0,0.46613067
158,144.16815,311.0,0.5364368
174,183.4628,316.0,0.41942152
73,110.935646,316.0,0.6489379
157,217.9039,320.0,0.3190503
7,155.61368,330.0,0.5284434
6,219.27875,337.0,0.34932122
68,241.64847,344.0,0.2975335
116,229.77077,346.0,0.33592263
88,262.72815,346.0,0.24067008
25,248.37035,355.0,0.3003652
81,220.61627,362.0,0.39056277
42,287.6758,363.0,0.20750464
139,191.27411,363.0,0.47307408
167,227.76176,365.0,0.37599516
100,242.1794,373.0,0.35072547
32,252.22272,379.0,0.3345047
77,228.05794,383.0,0.40454847
4,268.8921,402.0,0.3311142
33,254.88254,403.0,0.36753714
151,294.75214,445.0,0.33763564
13,335.75775,458.0,0.26690447
137,376.09082,463.0,0.18770881
140,348.92645,467.0,0.25283414
56,344.34683,473.0,0.27199402
12,335.52188,484.0,0.30677298
132,390.71466,488.0,0.1993552
134,377.84195,489.0,0.22731708
153,360.84393,490.0,0.2635838
95,393.68707,491.0,0.19819334
102,391.96606,493.0,0.204937
57,400.998,498.0,0.19478317
145,367.61432,499.0,0.26329795
128,401.3186,500.0,0.1973628
8,367.83716,503.0,0.2687134
122,380.95694,505.0,0.24562982
142,399.61786,515.0,0.224043
119,403.67236,519.0,0.22221124
129,431.16498,545.0,0.2088716
83,435.60547,549.0,0.20654741
47,410.9798,566.0,0.27388728
149,417.3543,566.0,0.2626249
55,358.407,567.0,0.36788887
148,426.55038,567.0,0.24770655
161,474.50583,572.0,0.17044435
126,462.35608,577.0,0.19868964
46,469.9626,605.0,0.22320233
168,495.90894,609.0,0.18569961
86,518.0137,614.0,0.15632953
113,529.2435,623.0,0.15049192
155,523.39874,632.0,0.17183743
14,510.80182,632.0,0.19176927
159,507.51828,635.0,0.20075862
76,518.80334,637.0,0.18555205
3,481.56964,642.0,0.24989152
154,493.39804,643.0,0.23266245
0,491.5166,644.0,0.23677546
39,482.92194,648.0,0.2547501
17,561.8501,674.0,0.16639452
22,536.8202,679.0,0.20939589
89,561.20844,686.0,0.1819119
171,571.64856,693.0,0.17511031
179,612.6183,702.0,0.12732437
127,596.09375,727.0,0.18006362
82,598.69,741.0,0.19205128
93,638.8348,744.0,0.1413511
61,632.62476,755.0,0.16208641
103,664.4652,757.0,0.12223882
176,620.94824,767.0,0.1904195
178,616.55707,771.0,0.20031509
51,674.83044,786.0,0.1414371
163,676.8465,794.0,0.1475485
180,679.95996,800.0,0.15005004
123,651.0774,806.0,0.19221167
