,output,target,rel_error
83,88.51291,10.0,7.8512907
107,92.36185,65.0,0.4209515
110,103.15876,80.0,0.2894845
75,97.413864,87.0,0.11969959
178,99.228,90.0,0.102533296
152,104.903656,92.0,0.14025714
165,107.161835,95.0,0.12801932
93,106.03357,114.0,0.06988097
140,121.61888,137.0,0.11227094
103,144.65276,145.0,0.002394788
99,160.3631,156.0,0.027968578
88,173.85637,157.0,0.10736541
54,202.57648,174.0,0.16423263
132,180.63277,179.0,0.0091216015
0,217.72585,202.0,0.07785072
46,180.1713,220.0,0.18103957
98,206.41188,221.0,0.06600959
163,237.54343,229.0,0.037307538
123,231.6411,232.0,0.0015469913
136,258.10913,238.0,0.08449215
85,246.80281,242.0,0.019846326
56,235.40112,247.0,0.046959016
66,219.36325,252.0,0.12951091
22,242.21114,255.0,0.05015241
57,217.52791,257.0,0.15358791
150,239.85225,269.0,0.108355954
137,267.72955,274.0,0.022884842
27,281.00882,301.0,0.06641588
86,289.94595,302.0,0.03991406
174,327.00665,329.0,0.006058806
97,303.82544,338.0,0.10110816
134,352.8059,339.0,0.04072539
151,295.95465,360.0,0.17790374
109,384.6308,362.0,0.06251602
126,345.6269,365.0,0.05307701
60,332.82452,373.0,0.10770905
82,333.30035,376.0,0.11356289
127,391.6821,381.0,0.028037004
154,377.85553,390.0,0.031139668
96,455.4884,403.0,0.13024418
26,374.41934,406.0,0.07778487
48,350.90265,419.0,0.16252351
5,436.54395,437.0,0.0010436034
29,448.69266,445.0,0.0082981065
157,452.25165,453.0,0.0016519913
162,405.01352,454.0,0.10789974
179,477.14807,458.0,0.041808017
74,429.65405,470.0,0.08584244
58,522.94543,473.0,0.105592884
76,454.56165,486.0,0.064687975
39,440.47266,493.0,0.106546335
47,449.80804,500.0,0.10038391
90,479.40466,507.0,0.05442867
61,474.93222,507.0,0.06325006
51,455.1148,513.0,0.11283664
1,509.74612,535.0,0.047203507
69,507.66364,537.0,0.0546301
144,515.08746,540.0,0.046134327
9,551.3894,540.0,0.02109149
79,474.04642,553.0,0.14277321
35,497.10416,566.0,0.12172411
168,551.8867,566.0,0.024935126
14,528.3215,578.0,0.08594901
170,535.1636,582.0,0.08047496
55,571.487,601.0,0.04910649
143,623.19086,610.0,0.021624357
160,570.9395,616.0,0.07315014
42,616.6389,623.0,0.010210408
73,607.60004,634.0,0.04164032
131,640.6124,657.0,0.024943033
124,593.83386,660.0,0.10025173
23,585.08734,660.0,0.11350403
77,658.7396,669.0,0.015336885
101,658.6824,671.0,0.018357119
28,671.1795,689.0,0.02586429
50,671.7206,697.0,0.036268894
52,645.1667,719.0,0.10268889
34,735.94763,721.0,0.020731805
153,713.49915,744.0,0.040995773
141,734.4312,746.0,0.015507757
148,704.8397,748.0,0.057700906
95,700.5738,749.0,0.064654484
130,697.64734,761.0,0.083249226
159,760.98254,766.0,0.0065502035
11,811.23425,783.0,0.03605907
117,774.8745,812.0,0.045721043
68,866.15576,832.0,0.0410526
169,882.7888,837.0,0.054705877
91,780.1519,840.0,0.07124772
164,828.3672,851.0,0.02659555
3,903.48267,856.0,0.055470403
114,814.9225,866.0,0.058980964
37,859.57605,895.0,0.03957983
15,886.9834,901.0,0.015556716
102,843.3296,906.0,0.069172636
2,975.6365,918.0,0.06278483
65,966.3418,926.0,0.043565657
121,954.89417,936.0,0.020186074
44,931.8315,943.0,0.011843603
40,1044.061,958.0,0.089834064
92,886.9173,965.0,0.08091472
36,1080.1068,980.0,0.10214981
59,1028.7701,981.0,0.048695352
167,965.43494,990.0,0.024813196
8,966.8665,997.0,0.030224156
80,1082.4752,1024.0,0.057104707
106,1211.3849,1093.0,0.108311884
138,1124.0027,1129.0,0.004426319
100,1126.2773,1149.0,0.019776028
30,1222.0106,1160.0,0.05345743
158,1142.9839,1192.0,0.0411209
45,1249.687,1207.0,0.035366207
49,1216.3284,1218.0,0.0013724391
177,1305.3469,1236.0,0.056105927
20,1326.3984,1242.0,0.06795365
21,1339.5863,1243.0,0.077704184
161,1307.5198,1267.0,0.03198088
116,1403.9938,1298.0,0.0816593
13,1271.8289,1315.0,0.032829765
89,1317.4653,1322.0,0.0034301572
84,1390.132,1368.0,0.016178332
24,1496.8125,1369.0,0.093361944
142,1371.2549,1380.0,0.0063370415
105,1375.5967,1382.0,0.004633372
111,1460.0846,1402.0,0.04142981
53,1472.3291,1420.0,0.03685148
145,1431.8176,1421.0,0.007612686
125,1475.5234,1482.0,0.00437015
12,1548.6228,1491.0,0.038647085
94,1520.881,1516.0,0.0032196448
128,1544.1064,1544.0,6.894126e-05
62,1645.4557,1547.0,0.06364298
6,1562.7609,1567.0,0.0027052558
139,1663.9966,1581.0,0.05249626
146,1733.1948,1619.0,0.07053417
119,1687.1375,1631.0,0.034419037
10,1607.943,1639.0,0.018948754
156,1636.3635,1641.0,0.002825396
43,1618.993,1672.0,0.031702727
7,1671.2566,1687.0,0.009332192
175,1704.7783,1687.0,0.010538423
25,1804.7156,1689.0,0.06851129
112,1731.5219,1694.0,0.022149853
149,1855.5209,1695.0,0.09470258
129,1802.6947,1706.0,0.056679193
147,1787.1613,1744.0,0.024748426
63,1775.6272,1760.0,0.00887909
87,1867.6143,1763.0,0.059338775
31,1836.7288,1764.0,0.041229457
172,1771.9608,1802.0,0.016669914
173,1932.7742,1847.0,0.046439722
133,1971.8252,1883.0,0.04717217
176,1946.6647,1925.0,0.011254376
32,2057.8718,1944.0,0.058576044
113,2083.7444,1953.0,0.06694541
33,2031.4106,1957.0,0.038022812
70,2042.4729,1965.0,0.039426412
67,2105.4583,1993.0,0.05642662
166,2026.5604,1993.0,0.01683915
4,2101.5637,2000.0,0.05078186
118,2201.771,2015.0,0.09269032
18,2222.1416,2086.0,0.06526443
81,2224.1914,2087.0,0.06573618
19,2241.183,2102.0,0.066214606
120,2293.137,2110.0,0.08679477
38,2216.0854,2141.0,0.03507027
71,2365.0051,2195.0,0.07745108
64,2278.8008,2273.0,0.0025520376
72,2418.441,2308.0,0.04785135
17,2479.4946,2336.0,0.061427496
104,2536.0159,2362.0,0.0736731
122,2560.706,2423.0,0.056832876
171,2655.311,2463.0,0.07808
41,2835.2097,2584.0,0.09721738
115,2926.5037,2728.0,0.07276527
155,2961.0073,2758.0,0.073606715
78,2976.5046,2781.0,0.070300125
135,3015.9844,2900.0,0.039994612
16,3413.9375,3358.0,0.01665798
108,3705.9053,3545.0,0.045389358
