,output,target,rel_error
63,98.36991,114.0,0.13710605
139,68.92726,114.0,0.3953749
39,143.94199,132.0,0.09046959
108,114.504135,135.0,0.15182123
60,137.26443,155.0,0.114423
40,160.83795,174.0,0.07564396
22,184.14268,193.0,0.045892823
3,176.61774,194.0,0.0895993
95,227.42726,203.0,0.12033134
172,174.71649,218.0,0.1985482
162,210.5478,229.0,0.08057727
136,249.3013,269.0,0.073229365
107,332.21625,298.0,0.11481962
118,290.31378,301.0,0.035502385
131,288.87976,301.0,0.040266577
123,315.60507,313.0,0.008322914
153,322.9242,318.0,0.015484888
129,312.093,326.0,0.042659547
42,289.7373,329.0,0.119339496
149,287.28867,330.0,0.12942828
65,341.97458,346.0,0.011634165
80,364.03473,346.0,0.052123494
125,350.53748,360.0,0.02628479
115,328.72128,363.0,0.09443173
105,355.83508,367.0,0.030422118
25,303.23306,369.0,0.17823018
120,360.76712,371.0,0.027581885
151,393.1114,371.0,0.059599433
176,367.78082,373.0,0.0139924325
78,363.18607,381.0,0.046755735
173,387.19827,434.0,0.10783808
37,454.30798,457.0,0.005890627
14,397.26712,461.0,0.1382492
61,457.3683,465.0,0.016412288
169,516.35724,473.0,0.09166435
158,472.51935,479.0,0.013529545
68,513.49774,489.0,0.05009763
159,505.10995,491.0,0.028737178
8,498.068,493.0,0.010279905
44,494.6942,494.0,0.0014052913
32,502.55383,498.0,0.009144243
23,507.2405,500.0,0.014481018
122,527.98254,507.0,0.041385688
126,513.04895,513.0,9.5419484e-05
93,490.9681,515.0,0.046663865
1,524.3713,516.0,0.016223405
146,541.21216,531.0,0.019231936
102,524.44666,533.0,0.01604755
64,527.9811,537.0,0.016795011
160,546.7359,547.0,0.00048281375
16,505.23547,555.0,0.089665815
154,609.51294,566.0,0.07687798
83,525.77277,567.0,0.07271117
57,568.8535,567.0,0.003268987
156,580.608,578.0,0.004512061
163,585.45776,582.0,0.005941175
7,636.5558,601.0,0.05916104
50,552.8688,605.0,0.08616731
157,587.6032,609.0,0.0351343
147,603.14813,615.0,0.019271329
142,640.6326,632.0,0.013659224
35,675.6398,639.0,0.057339232
106,546.5849,643.0,0.14994572
132,614.45715,648.0,0.051763654
33,663.99817,661.0,0.0045358078
52,688.6792,674.0,0.021779228
144,669.9862,675.0,0.007427843
114,633.97675,679.0,0.06630818
178,741.4069,689.0,0.07606229
96,654.2439,692.0,0.054560844
20,723.34735,692.0,0.04529964
66,677.37067,702.0,0.03508452
179,677.984,706.0,0.03968271
121,666.2339,709.0,0.060318917
76,738.05634,741.0,0.003972557
74,748.7452,749.0,0.00034021598
150,740.0972,755.0,0.01973877
27,732.9773,757.0,0.03173409
167,642.2174,758.0,0.15274748
135,721.6835,761.0,0.051664297
111,709.82996,763.0,0.06968551
140,760.17,766.0,0.0076109883
109,807.8515,772.0,0.046439767
82,765.86176,783.0,0.021887925
81,796.42993,786.0,0.013269633
79,795.8364,800.0,0.0052044676
19,818.15283,803.0,0.018870277
69,828.46454,826.0,0.0029837028
143,820.9097,832.0,0.013329653
49,821.1095,845.0,0.028272785
53,787.93396,867.0,0.09119497
165,922.2796,874.0,0.05523982
47,914.5587,895.0,0.021853313
43,903.44147,913.0,0.010469368
56,956.0719,955.0,0.0011224077
148,1045.0645,958.0,0.090881474
98,1053.4824,970.0,0.08606435
70,1006.1089,971.0,0.03615745
177,922.8177,975.0,0.05352032
152,954.44965,976.0,0.02208028
161,959.6214,995.0,0.035556383
89,945.4734,998.0,0.052631874
6,1053.941,1019.0,0.03428954
91,1084.2332,1040.0,0.042531878
46,1018.91876,1049.0,0.02867611
166,1043.1984,1069.0,0.024136236
24,1099.6838,1073.0,0.024868442
62,1025.3801,1077.0,0.047929317
0,1147.8599,1083.0,0.05988907
171,1070.5833,1085.0,0.013287325
127,1126.4103,1088.0,0.035303563
130,1103.7882,1108.0,0.0038012564
155,1136.9117,1110.0,0.024244813
94,1133.9873,1111.0,0.020690644
41,1146.0873,1136.0,0.0088796485
51,1072.6335,1141.0,0.059918016
4,1227.1748,1209.0,0.015032924
31,1267.3214,1222.0,0.0370879
11,1218.1405,1231.0,0.010446383
113,1339.2518,1243.0,0.0774351
58,1157.9087,1257.0,0.07883159
29,1307.6146,1271.0,0.02880773
28,1282.9569,1289.0,0.004688201
86,1374.0294,1298.0,0.05857428
104,1282.9326,1315.0,0.024385842
145,1416.5059,1368.0,0.0354575
88,1385.3904,1382.0,0.0024532422
10,1421.8369,1409.0,0.009110656
26,1397.177,1420.0,0.016072534
67,1419.5712,1421.0,0.0010055123
100,1452.132,1431.0,0.014767266
90,1483.867,1473.0,0.0073774224
117,1467.7212,1475.0,0.0049347854
48,1502.2418,1475.0,0.018469032
92,1466.8116,1489.0,0.014901514
170,1542.8945,1490.0,0.035499685
71,1534.6613,1516.0,0.0123095345
75,1521.0388,1526.0,0.003251102
124,1541.718,1548.0,0.004058128
174,1562.3298,1554.0,0.0053602536
97,1523.1526,1562.0,0.024870303
9,1556.728,1564.0,0.004649599
