,output,target,rel_error
63,93.74994,114.0,0.17763211
139,66.34657,114.0,0.41801253
39,136.01193,132.0,-0.030393427
108,111.75571,135.0,0.17217995
60,135.44669,155.0,0.12615041
40,161.08252,174.0,0.0742384
22,181.3819,193.0,0.060197424
3,178.44421,194.0,0.08018447
95,221.29276,203.0,-0.0901121
172,181.17932,218.0,0.16890219
162,215.05655,229.0,0.060888432
136,254.6135,269.0,0.053481434
107,322.8594,298.0,-0.08342082
118,295.1042,301.0,0.019587418
131,298.09677,301.0,0.009645279
123,321.5814,313.0,-0.027416583
153,313.3708,318.0,0.0145572685
129,316.46356,326.0,0.029252877
42,301.1823,329.0,0.08455224
149,283.5031,330.0,0.14089966
65,346.30994,346.0,-0.0008957703
80,362.80267,346.0,-0.04856264
125,343.7065,360.0,0.045259688
115,322.12143,363.0,0.11261314
105,359.68198,367.0,0.01994012
25,305.77673,369.0,0.17133677
120,366.8082,371.0,0.01129866
151,383.06546,371.0,-0.032521456
176,363.4279,373.0,0.025662502
78,370.92245,381.0,0.02645025
173,396.30356,434.0,0.08685816
37,449.95813,457.0,0.015408906
14,389.8199,461.0,0.15440372
61,454.53436,465.0,0.022506747
169,503.58823,473.0,-0.06466855
158,481.82788,479.0,-0.005903718
68,505.20294,489.0,-0.03313485
159,510.865,491.0,-0.04045823
8,493.47748,493.0,-0.0009685153
44,504.8601,494.0,-0.021984024
32,511.0793,498.0,-0.026263686
23,513.9202,500.0,-0.027840454
122,538.1588,507.0,-0.061457224
126,526.5363,513.0,-0.026386581
93,492.12247,515.0,0.044422396
1,514.38,516.0,0.0031395254
146,538.6991,531.0,-0.014499241
102,532.7898,533.0,0.000394381
64,533.7879,537.0,0.005981559
160,554.4176,547.0,-0.013560517
16,519.54956,555.0,0.06387467
154,595.3331,566.0,-0.05182532
83,512.38074,567.0,0.09633027
57,558.8823,567.0,0.0143168885
156,590.39246,578.0,-0.021440236
163,590.7744,582.0,-0.015076313
7,641.11163,601.0,-0.06674149
50,576.2295,605.0,0.04755456
157,583.5562,609.0,0.041779615
147,610.46564,615.0,0.0073729474
142,637.0569,632.0,-0.0080014
35,663.8272,639.0,-0.038853224
106,570.01514,643.0,0.11350679
132,612.95435,648.0,0.0540828
33,668.29144,661.0,-0.011030927
52,691.4032,674.0,-0.02582077
144,676.65765,675.0,-0.0024557833
114,645.0866,679.0,0.049946085
178,744.6473,689.0,-0.08076528
96,677.5637,692.0,0.020861676
20,715.7414,692.0,-0.034308374
66,700.2121,702.0,0.0025468701
179,695.6224,706.0,0.014699185
121,683.82654,709.0,0.03550559
76,728.24866,741.0,0.01720829
74,756.9412,749.0,-0.010602434
150,743.3716,755.0,0.015401878
27,745.39954,757.0,0.015324259
167,641.3965,758.0,0.1538305
135,732.98193,761.0,0.03681743
111,732.73755,763.0,0.03966245
140,758.7036,766.0,0.009525309
109,818.1496,772.0,-0.05977927
82,755.64685,783.0,0.03493378
81,809.4312,786.0,-0.029810704
