,output,target,rel_error
64,77.1472,36.0,-1.1429778
94,65.68894,39.0,-0.68433183
113,94.530426,67.0,-0.41090187
5,101.44439,90.0,-0.12715988
119,114.1487,95.0,-0.20156524
111,148.13504,126.0,-0.17567493
39,163.21147,132.0,-0.23645054
60,144.0688,138.0,-0.043976825
145,174.90344,144.0,-0.21460724
42,152.2135,153.0,0.0051405164
7,183.57828,154.0,-0.19206674
95,167.41074,155.0,-0.080069266
14,169.5607,155.0,-0.09394
3,175.41974,157.0,-0.117323175
45,180.21582,161.0,-0.11935292
16,153.19012,162.0,0.054381948
0,183.27005,176.0,-0.041307103
178,172.29758,180.0,0.04279124
149,188.21545,187.0,-0.0064997547
80,202.35997,194.0,-0.04309263
103,231.24503,210.0,-0.10116679
116,213.83115,215.0,0.005436529
170,218.40997,235.0,0.07059586
31,264.6708,242.0,-0.09368102
82,229.79373,257.0,0.10586096
83,247.48618,266.0,0.06960084
25,272.46234,269.0,-0.012871157
18,289.74335,285.0,-0.016643323
125,311.5141,293.0,-0.06318805
105,305.0929,301.0,-0.01359766
53,311.28876,301.0,-0.03418192
87,306.67593,302.0,-0.015483225
106,285.29712,303.0,0.05842535
71,301.39056,307.0,0.018271778
58,342.61362,320.0,-0.07066755
152,306.43152,329.0,0.068597205
151,340.1886,339.0,-0.0035061906
19,339.46533,343.0,0.010305154
73,363.1115,355.0,-0.022849327
129,378.11392,372.0,-0.016435275
11,367.48145,375.0,0.020049479
175,384.4933,379.0,-0.014494158
34,374.78333,383.0,0.021453459
9,405.76517,387.0,-0.048488803
50,366.91278,390.0,0.059198
118,412.85687,395.0,-0.045207273
171,403.1606,399.0,-0.010427604
109,380.6725,403.0,0.055403262
107,408.1464,406.0,-0.005286682
135,427.4334,410.0,-0.042520516
20,413.0329,420.0,0.016588338
121,392.4176,434.0,0.09581198
1,412.0824,434.0,0.050501388
140,445.2722,445.0,-0.00061165454
142,425.92407,448.0,0.049276624
96,485.6382,463.0,-0.048894633
62,506.48047,466.0,-0.08686796
131,500.2104,473.0,-0.057527248
169,496.901,475.0,-0.04610737
143,503.61115,498.0,-0.011267359
128,504.73267,507.0,0.004472059
68,530.2197,516.0,-0.02755761
117,542.1394,535.0,-0.013344681
17,516.0498,536.0,0.037220515
110,553.7992,536.0,-0.033207454
55,537.84717,537.0,-0.001577594
100,580.80145,540.0,-0.075558245
63,559.0315,547.0,-0.02199542
59,544.6417,555.0,0.018663561
81,531.13446,567.0,0.06325492
138,611.51807,569.0,-0.0747242
167,594.1566,582.0,-0.020887656
177,644.9524,601.0,-0.0731321
115,566.95953,603.0,0.059768602
90,643.72437,615.0,-0.046706285
38,628.34033,616.0,-0.020033006
23,652.1839,634.0,-0.028681228
154,581.6556,643.0,0.095403455
102,662.77356,657.0,-0.008787761
136,667.7029,663.0,-0.0070933346
76,638.55743,669.0,0.04550458
28,625.1372,671.0,0.06834991
21,675.9546,679.0,0.00448514
30,693.71497,689.0,-0.0068432014
29,717.1712,692.0,-0.036374573
52,670.27563,695.0,0.035574626
65,712.84143,695.0,-0.025671123
126,750.4588,702.0,-0.06902963
130,721.4531,703.0,-0.02624911
35,695.6009,709.0,0.018898603
77,724.3828,713.0,-0.015964674
84,671.26697,748.0,0.102584265
6,761.6937,755.0,-0.008865862
85,797.2616,757.0,-0.053185727
51,750.57874,757.0,0.008482516
26,747.92755,767.0,0.024866296
141,797.0593,775.0,-0.028463647
93,774.69995,783.0,0.010600318
123,818.49744,791.0,-0.034762878
166,800.84875,795.0,-0.0073569245
36,809.86914,811.0,0.0013944012
54,788.19727,812.0,0.029313711
91,787.5939,816.0,0.03481143
162,807.4658,827.0,0.023620531
32,828.965,832.0,0.0036478043
15,841.041,840.0,-0.0012393043
2,831.65796,842.0,0.012282709
168,823.52527,845.0,0.025413884
127,871.1486,856.0,-0.017696986
146,849.8779,883.0,0.03751084
158,932.95184,886.0,-0.05299305
49,876.1645,906.0,0.032931026
89,893.1189,911.0,0.019627996
8,912.33813,913.0,0.00072493457
86,888.96265,913.0,0.026327878
148,921.0702,941.0,0.021179393
33,976.3911,958.0,-0.019197404
147,976.8113,960.0,-0.01751175
161,977.2525,971.0,-0.00643924
165,959.02075,975.0,0.016388973
112,1016.8912,1009.0,-0.007820787
47,1043.955,1019.0,-0.024489652
4,1053.6274,1025.0,-0.027929211
12,1016.4592,1032.0,0.015058887
97,1015.8151,1049.0,0.03163477
99,1105.9971,1084.0,-0.0202925
159,1112.9198,1093.0,-0.018224886
46,1117.804,1109.0,-0.007938643
27,1146.2428,1136.0,-0.009016547
44,1117.9751,1153.0,0.030377192
108,1104.1431,1171.0,0.05709388
22,1238.7863,1207.0,-0.026334925
157,1278.9664,1242.0,-0.029763632
40,1283.7798,1246.0,-0.030320855
48,1230.2839,1286.0,0.04332509
150,1351.2166,1292.0,-0.045833245
174,1345.988,1304.0,-0.032199416
137,1346.8323,1304.0,-0.03284684
120,1343.3174,1339.0,-0.0032243337
163,1405.104,1368.0,-0.02712281
173,1417.1891,1369.0,-0.03520021
98,1395.4371,1369.0,-0.019311273
144,1372.556,1392.0,0.013968369
79,1374.2437,1401.0,0.019098036
124,1413.9209,1402.0,-0.00850278
104,1439.5562,1409.0,-0.02168641
70,1473.7183,1428.0,-0.032015588
67,1415.7429,1436.0,0.0141066015
179,1378.8972,1453.0,0.05099985
10,1436.6443,1473.0,0.024681408
75,1487.8604,1475.0,-0.008718883
