,0,1,2,3,4,5,6,7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.0,0.0,4.0,1.0,2.0,1.0,2.0,2.0
8,2.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0
9,64.0,73.0,68.0,65.0,57.0,73.0,76.0,79.0
10,164.0,149.0,166.0,180.0,179.0,182.0,169.0,161.0
11,333.0,281.0,352.0,328.0,344.0,335.0,308.0,339.0
12,512.0,512.0,566.0,543.0,544.0,561.0,521.0,541.0
13,804.0,796.0,836.0,828.0,857.0,852.0,778.0,841.0
14,1124.0,1042.0,1212.0,1160.0,1117.0,1114.0,1124.0,1171.0
15,1481.0,1446.0,1549.0,1456.0,1525.0,1482.0,1429.0,1535.0
16,1879.0,1653.0,1930.0,1827.0,1891.0,1716.0,1789.0,1985.0
17,2357.0,2097.0,2467.0,2327.0,2240.0,2245.0,2145.0,2347.0
18,2810.0,2539.0,2838.0,2705.0,2625.0,2613.0,2572.0,2730.0
19,3099.0,2839.0,3173.0,3096.0,3028.0,3032.0,2806.0,3146.0
20,3428.0,3196.0,3663.0,3466.0,3433.0,3435.0,3243.0,3466.0
21,3939.0,3559.0,3989.0,3832.0,3912.0,3807.0,3648.0,4037.0
22,4378.0,3952.0,4362.0,4110.0,4290.0,4158.0,3951.0,4276.0
23,4545.0,4195.0,4680.0,4447.0,4593.0,4391.0,4172.0,4535.0
24,4790.0,4423.0,5007.0,4747.0,4939.0,4742.0,4454.0,5106.0
25,5087.0,4657.0,5269.0,5121.0,5122.0,5021.0,4861.0,5241.0
