,output,target,rel_error
63,97.997696,114.0,0.14037108
139,72.54293,114.0,0.36365852
39,142.01183,132.0,-0.075847164
108,121.81489,135.0,0.09766749
60,144.582,155.0,0.0672129
40,176.66605,174.0,-0.015322104
22,175.83948,193.0,0.088914625
3,189.18611,194.0,0.024813859
95,226.0811,203.0,-0.1137
172,191.08443,218.0,0.12346593
162,225.6118,229.0,0.014795628
136,264.7846,269.0,0.015670607
107,327.60272,298.0,-0.099337995
118,302.52768,301.0,-0.005075347
131,313.6452,301.0,-0.04201064
123,331.66647,313.0,-0.059637297
153,301.3531,318.0,0.052348778
129,318.7828,326.0,0.022138631
42,307.36218,329.0,0.06576844
149,275.12604,330.0,0.16628474
65,359.43283,346.0,-0.03882321
80,378.56827,346.0,-0.09412794
125,340.3597,360.0,0.05455636
115,308.41788,363.0,0.15036398
105,370.14005,367.0,-0.008555981
25,291.7775,369.0,0.20927508
120,379.48798,371.0,-0.022878641
151,380.00385,371.0,-0.024269124
176,352.80722,373.0,0.05413614
78,380.61142,381.0,0.0010198959
173,398.54678,434.0,0.08168944
37,452.18106,457.0,0.010544725
14,385.46698,461.0,0.16384603
61,449.62674,465.0,0.033060774
169,493.7052,473.0,-0.043774206
158,495.33627,479.0,-0.034104954
68,503.25403,489.0,-0.029149342
159,523.1168,491.0,-0.06541104
8,502.50595,493.0,-0.019281847
44,523.327,494.0,-0.05936645
32,527.90155,498.0,-0.060043275
23,529.17487,500.0,-0.058349732
122,561.6715,507.0,-0.10783335
126,540.96246,513.0,-0.054507725
93,492.5109,515.0,0.043668166
1,508.99478,516.0,0.013576005
146,548.6809,531.0,-0.03329738
102,541.2121,533.0,-0.015407312
64,546.60535,537.0,-0.017887052
160,562.3361,547.0,-0.028036784
16,522.9363,555.0,0.05777247
154,580.01306,566.0,-0.02475806
83,508.01694,567.0,0.10402656
57,547.3903,567.0,0.034584973
156,599.12726,578.0,-0.03655235
163,604.2758,582.0,-0.0382746
7,671.0596,601.0,-0.116571665
50,584.59045,605.0,0.033734787
157,573.1707,609.0,0.05883298
147,622.2685,615.0,-0.011818689
142,635.88477,632.0,-0.006146781
35,661.2773,639.0,-0.034862727
106,567.339,643.0,0.117668755
132,598.17365,648.0,0.076892525
33,660.4269,661.0,0.0008670501
52,700.82886,674.0,-0.039805427
144,688.6923,675.0,-0.02028492
114,649.7737,679.0,0.043043178
178,767.977,689.0,-0.11462553
96,690.76886,692.0,0.0017791042
20,713.23987,692.0,-0.030693451
66,714.8057,702.0,-0.018241774
179,700.4727,706.0,0.007829012
121,700.437,709.0,0.012077558
76,713.98773,741.0,0.036453802
74,765.8865,749.0,-0.02254536
150,770.4139,755.0,-0.020415734
27,756.2121,757.0,0.0010408227
167,648.99713,758.0,0.14380325
135,732.88605,761.0,0.036943432
111,750.8442,763.0,0.015931616
140,751.1139,766.0,0.019433562
109,836.4659,772.0,-0.08350503
82,741.9649,783.0,0.05240753
81,833.24274,786.0,-0.060105264
79,837.93646,800.0,-0.047420576
19,799.36395,803.0,0.0045280787
69,815.0412,826.0,0.013267314
143,802.61084,832.0,0.035323508
49,809.04553,845.0,0.042549666
53,782.1442,867.0,0.09787287
165,907.7854,874.0,-0.038656063
47,958.92865,895.0,-0.07142866
43,886.39703,913.0,0.029137969
56,947.71027,955.0,0.0076332293
148,997.99396,958.0,-0.041747347
98,999.1643,970.0,-0.030066295
70,970.08856,971.0,0.0009386591
177,920.7564,975.0,0.055634454
152,966.9196,976.0,0.009303671
161,972.1716,995.0,0.022943147
89,931.31647,998.0,0.066817164
6,1077.7363,1019.0,-0.057641145
91,1087.1791,1040.0,-0.0453645
46,1000.4589,1049.0,0.046273667
166,1070.5448,1069.0,-0.0014450887
24,1105.6329,1073.0,-0.0304128
62,1025.6721,1077.0,0.0476582
0,1128.6265,1083.0,-0.0421297
171,1129.5991,1085.0,-0.04110518
127,1156.2314,1088.0,-0.06271273
130,1085.9226,1108.0,0.019925445
155,1130.7357,1110.0,-0.018680828
94,1123.9235,1111.0,-0.011632279
41,1152.6832,1136.0,-0.01468594
51,1066.1193,1141.0,0.06562729
4,1189.1074,1209.0,0.016453745
31,1224.3766,1222.0,-0.0019448338
11,1210.6732,1231.0,0.016512414
113,1325.5156,1243.0,-0.06638425
58,1160.583,1257.0,0.07670405
29,1271.0626,1271.0,-4.9269922e-05
28,1263.5422,1289.0,0.01975001
86,1314.6587,1298.0,-0.012834122
104,1285.4688,1315.0,0.022457225
145,1421.0996,1368.0,-0.038815502
88,1379.3911,1382.0,0.0018877618
10,1417.6035,1409.0,-0.0061061145
26,1447.9486,1420.0,-0.019682119
67,1407.012,1421.0,0.009843798
100,1470.8044,1431.0,-0.027815824
90,1457.7733,1473.0,0.010337193
117,1442.6736,1475.0,0.021916214
48,1533.89,1475.0,-0.039925434
92,1467.3862,1489.0,0.014515627
170,1496.924,1490.0,-0.004646946
71,1495.6772,1516.0,0.01340551
75,1488.818,1526.0,0.024365667
124,1532.6411,1548.0,0.009921761
174,1600.7781,1554.0,-0.030101722
97,1500.1576,1562.0,0.03959181
9,1560.4907,1564.0,0.0022437836
30,1621.6931,1578.0,-0.02768892
15,1632.5631,1581.0,-0.03261424
141,1630.5013,1586.0,-0.028058855
77,1578.2122,1593.0,0.009283015
5,1582.0316,1604.0,0.013696
133,1611.5023,1631.0,0.011954433
87,1656.874,1645.0,-0.0072182515
138,1597.352,1657.0,0.035997555
119,1693.25,1662.0,-0.018802647
45,1673.9741,1666.0,-0.004786387
17,1652.4689,1687.0,0.020468956
38,1716.82,1718.0,0.0006868764
85,1757.65,1741.0,-0.009563483
134,1688.6877,1752.0,0.036137134
13,1815.6368,1799.0,-0.009247827
99,1772.3969,1799.0,0.014787743
72,1917.3232,1839.0,-0.042590126
101,1818.0411,1925.0,0.055563044
18,1883.697,1933.0,0.025505938
55,1956.6146,1957.0,0.00019692181
168,1983.7284,1983.0,-0.00036731898
103,1968.7062,1993.0,0.0121895755
21,2041.0791,2058.0,0.008222011
36,2061.7148,2088.0,0.012588676
84,2153.6816,2108.0,-0.021670608
164,2110.4963,2115.0,0.002129391
116,2155.528,2141.0,-0.00678565
137,2193.9246,2164.0,-0.013828355
110,2372.1028,2193.0,-0.08167022
34,2316.8547,2229.0,-0.039414417
112,2473.6204,2358.0,-0.049033232
54,2535.644,2364.0,-0.072607465
175,2437.75,2391.0,-0.019552488
59,2476.2747,2402.0,-0.030922007
128,2509.5896,2467.0,-0.017263722
2,2620.7468,2522.0,-0.039154172
12,3162.8267,2930.0,-0.07946303
73,3602.148,3545.0,-0.016120719
