,output,target,rel_error
63,92.571846,114.0,0.18796626
139,66.55825,114.0,0.4161557
39,134.45033,132.0,-0.018563125
108,111.4009,135.0,0.17480813
60,134.95139,155.0,0.1293459
40,161.2557,174.0,0.07324307
22,179.71988,193.0,0.06880891
3,178.68489,194.0,0.07894386
95,219.2287,203.0,-0.07994433
172,183.0971,218.0,0.16010502
162,215.98593,229.0,0.056829993
136,255.72194,269.0,0.049360823
107,320.53848,298.0,-0.07563249
118,295.47324,301.0,0.018361341
131,300.50162,301.0,0.001655756
123,322.6263,313.0,-0.03075499
153,313.4975,318.0,0.014158812
129,316.84113,326.0,0.028094707
42,304.1183,329.0,0.07562831
149,282.7738,330.0,0.14310968
65,346.95877,346.0,-0.0027710136
80,361.50684,346.0,-0.044817444
125,342.07202,360.0,0.04979994
115,321.8023,363.0,0.113492265
105,359.76465,367.0,0.019714855
25,305.1897,369.0,0.17292765
120,367.7766,371.0,0.008688379
151,383.64478,371.0,-0.034082953
176,361.59247,373.0,0.030583195
78,372.50955,381.0,0.02228464
173,397.57413,434.0,0.08393058
37,447.34268,457.0,0.021131987
14,390.67603,461.0,0.15254658
61,452.71588,465.0,0.02641746
169,504.21997,473.0,-0.066004165
158,483.58957,479.0,-0.009581564
68,502.6949,489.0,-0.0280059
159,511.01697,491.0,-0.040767755
8,491.64743,493.0,0.002743549
44,507.1384,494.0,-0.026595946
32,512.6137,498.0,-0.029344795
23,514.59174,500.0,-0.029183472
122,540.34625,507.0,-0.0657717
126,530.1581,513.0,-0.03344655
93,490.41653,515.0,0.047734886
1,515.244,516.0,0.0014650803
146,535.97925,531.0,-0.009377115
102,533.5588,533.0,-0.0010483619
64,533.904,537.0,0.0057653785
160,555.17065,547.0,-0.014937211
16,522.50525,555.0,0.058549102
154,595.61145,566.0,-0.05231705
83,512.02234,567.0,0.09696236
57,559.71515,567.0,0.0128480615
156,591.9388,578.0,-0.02411554
163,590.65845,582.0,-0.014877057
7,641.199,601.0,-0.06688681
50,582.23303,605.0,0.03763135
157,581.2473,609.0,0.045570914
147,611.2211,615.0,0.0061445036
142,635.2161,632.0,-0.005088806
35,665.2292,639.0,-0.04104724
106,575.4135,643.0,0.105111174
132,610.80054,648.0,0.05740658
33,667.2063,661.0,-0.009389257
52,690.317,674.0,-0.024209224
144,676.8339,675.0,-0.0027169234
114,645.9261,679.0,0.04870974
178,743.8412,689.0,-0.079595335
96,683.6039,692.0,0.012133119
20,712.75336,692.0,-0.029990401
66,706.0737,702.0,-0.0058030346
179,698.91223,706.0,0.010039332
121,687.9276,709.0,0.02972128
76,729.17584,741.0,0.015957028
74,756.61676,749.0,-0.01016924
150,741.1333,755.0,0.01836649
27,747.0368,757.0,0.013161421
167,643.4715,758.0,0.151093
135,733.8285,761.0,0.035705004
111,738.31116,763.0,0.032357592
140,755.88434,766.0,0.013205824
109,819.3436,772.0,-0.06132594
82,757.467,783.0,0.03260922
81,811.278,786.0,-0.032160323
79,817.27856,800.0,-0.021598205
19,808.07983,803.0,-0.0063260696
69,818.4529,826.0,0.009136948
143,813.20966,832.0,0.022584548
49,818.0902,845.0,0.031845905
53,787.7208,867.0,0.091440804
165,912.4386,874.0,-0.04398009
47,931.2012,895.0,-0.040448237
43,897.05774,913.0,0.017461402
56,960.36414,955.0,-0.005616896
148,1023.9457,958.0,-0.06883682
98,1028.7327,970.0,-0.06054914
70,985.89667,971.0,-0.015341573
177,927.9515,975.0,0.048254896
152,970.2563,976.0,0.0058849524
161,951.24316,995.0,0.04397672
89,932.10724,998.0,0.06602481
6,1062.9003,1019.0,-0.043081716
91,1080.2272,1040.0,-0.038679972
46,1021.1769,1049.0,0.02652347
166,1071.2985,1069.0,-0.0021501046
24,1099.593,1073.0,-0.0247838
62,1029.0803,1077.0,0.044493664
0,1131.9907,1083.0,-0.045236126
171,1098.8649,1085.0,-0.012778681
127,1146.4081,1088.0,-0.0536839
130,1100.2335,1108.0,0.007009458
155,1125.5177,1110.0,-0.01397991
94,1135.9756,1111.0,-0.022480275
41,1155.2527,1136.0,-0.016947787
51,1093.5718,1141.0,0.04156724
4,1202.084,1209.0,0.005720443
31,1240.9,1222.0,-0.015466468
11,1206.2573,1231.0,0.020099655
113,1321.4093,1243.0,-0.06308069
58,1153.5746,1257.0,0.08227956
29,1287.5962,1271.0,-0.013057586
28,1274.4409,1289.0,0.011294866
86,1345.1432,1298.0,-0.036319867
104,1293.4954,1315.0,0.016353337
145,1417.5911,1368.0,-0.036250778
88,1379.6659,1382.0,0.0016889337
