,output,target,rel_error
32,36.50833,39.0,0.063888945
132,53.28823,65.0,0.18018106
153,62.265423,67.0,0.07066533
127,73.11792,78.0,0.06259077
70,66.22519,87.0,0.23879093
119,79.48342,92.0,0.13604976
122,79.67324,114.0,0.30111194
146,91.303345,116.0,0.2129022
41,138.28278,132.0,-0.047596786
87,172.6453,181.0,0.046158597
9,222.55212,203.0,-0.09631588
36,204.38974,211.0,0.031328246
99,222.36836,213.0,-0.043982923
22,219.30608,220.0,0.0031541998
86,211.51254,220.0,0.038579352
0,233.96156,229.0,-0.021666214
116,206.42,232.0,0.11025863
130,261.07205,274.0,0.04718229
55,277.85736,284.0,0.021629011
106,282.61346,289.0,0.022098739
49,271.92508,294.0,0.07508476
157,289.32675,301.0,0.038781557
20,294.14267,302.0,0.026017651
176,278.85297,303.0,0.07969318
1,293.6676,304.0,0.033988148
178,291.515,311.0,0.062652685
141,298.72565,319.0,0.06355596
16,343.87045,338.0,-0.017368203
131,362.8485,344.0,-0.05479218
65,342.23923,353.0,0.030483775
43,343.993,362.0,0.049743064
179,388.00632,407.0,0.046667524
79,356.84848,419.0,0.14833298
126,448.93814,435.0,-0.032041702
68,428.35797,445.0,0.037397817
149,437.23083,454.0,0.036936488
167,452.66287,457.0,0.009490432
92,477.6831,458.0,-0.04297621
134,475.5809,463.0,-0.027172575
172,499.2842,473.0,-0.055569153
93,473.41492,479.0,0.011659881
100,467.9556,490.0,0.044988576
39,502.18387,498.0,-0.008401342
59,528.6173,507.0,-0.04263769
148,514.7163,513.0,-0.0033456308
17,547.6954,522.0,-0.049224854
88,514.2687,531.0,0.031509083
113,551.6668,537.0,-0.027312493
76,576.7554,540.0,-0.0680655
174,570.36633,550.0,-0.037029695
128,531.37787,553.0,0.039099693
107,549.8749,555.0,0.0092344545
23,543.85754,562.0,0.03228195
42,541.97626,566.0,0.042444777
64,563.12024,570.0,0.012069755
26,592.60486,591.0,-0.0027154963
66,567.5548,603.0,0.05878141
152,632.0783,609.0,-0.037895415
124,639.273,610.0,-0.04798854
144,656.9441,614.0,-0.06994152
163,604.319,627.0,0.03617389
117,620.3982,660.0,0.060002737
48,645.3944,660.0,0.022129683
47,677.4515,674.0,-0.005120886
140,667.67773,675.0,0.010847801
58,657.10394,679.0,0.032247506
71,718.6919,681.0,-0.055347864
138,672.078,683.0,0.015991211
89,632.14557,699.0,0.09564296
7,689.81537,702.0,0.017357025
63,726.90125,713.0,-0.019496838
56,766.87964,731.0,-0.049082953
103,755.4585,735.0,-0.02783469
105,721.59485,739.0,0.023552302
25,738.7017,744.0,0.0071213427
120,793.05505,757.0,-0.04762887
57,749.84827,767.0,0.022362104
91,787.68494,786.0,-0.0021436852
112,824.9114,792.0,-0.041554768
62,793.6163,798.0,0.0054933936
169,797.4154,811.0,0.016750425
159,795.36957,816.0,0.025282392
173,825.51025,821.0,-0.00549361
142,830.72656,826.0,-0.0057222308
125,823.7175,845.0,0.025186356
77,856.46027,858.0,0.0017945616
114,852.46936,864.0,0.013345648
95,882.7777,868.0,-0.01702501
156,853.06177,869.0,0.01834089
96,853.5897,872.0,0.021112705
94,939.23303,901.0,-0.042434
129,858.5878,906.0,0.052331313
81,844.8644,910.0,0.0715776
83,912.8429,921.0,0.008856791
145,930.22,931.0,0.00083784026
166,945.7844,949.0,0.0033883837
78,943.57214,975.0,0.0322337
90,976.8022,977.0,0.0002024718
139,1031.644,980.0,-0.052698
168,1004.9358,981.0,-0.02439938
50,984.8541,996.0,0.011190637
35,1007.4853,997.0,-0.010516841
111,1008.19495,1014.0,0.005724905
154,1085.448,1026.0,-0.05794152
160,1035.5122,1031.0,-0.0043765344
161,1011.6186,1032.0,0.019749427
118,1021.9197,1049.0,0.02581537
164,1111.1221,1083.0,-0.025966823
38,1089.2887,1084.0,-0.004878871
46,1106.9692,1088.0,-0.017434962
135,1154.6962,1129.0,-0.022760112
73,1136.9963,1132.0,-0.0044137263
40,1065.1589,1141.0,0.06646895
54,1166.5952,1148.0,-0.016197922
29,1141.5198,1153.0,0.009956829
28,1136.0914,1167.0,0.026485492
158,1209.3198,1172.0,-0.031842854
6,1183.979,1192.0,0.0067290235
74,1178.2981,1192.0,0.011494886
11,1206.0515,1198.0,-0.006720796
147,1166.9971,1218.0,0.041874327
110,1261.2429,1236.0,-0.020423075
143,1274.0074,1242.0,-0.025770891
2,1287.2854,1243.0,-0.035627834
162,1261.9197,1254.0,-0.0063155326
84,1326.8787,1292.0,-0.02699587
4,1282.95,1314.0,0.023630174
51,1314.1313,1339.0,0.018572556
37,1363.8555,1359.0,-0.0035728246
98,1423.2783,1369.0,-0.039648153
115,1399.7974,1380.0,-0.014345915
165,1356.6959,1387.0,0.021848649
75,1385.1372,1394.0,0.006357814
44,1386.607,1401.0,0.010273336
102,1435.2628,1420.0,-0.010748463
33,1421.365,1434.0,0.008811025
31,1470.2144,1446.0,-0.01674575
80,1441.1768,1453.0,0.008137125
108,1466.2283,1475.0,0.0059469347
175,1474.5889,1496.0,0.014312254
109,1497.4451,1507.0,0.006340366
123,1551.5315,1532.0,-0.012749017
27,1548.8494,1548.0,-0.00054868555
72,1528.9365,1554.0,0.016128363
3,1629.885,1578.0,-0.032880235
18,1603.3934,1582.0,-0.013523029
137,1582.4683,1587.0,0.0028555377
150,1580.9569,1597.0,0.010045768
13,1625.8545,1631.0,0.0031548177
155,1654.1313,1639.0,-0.009232061
101,1640.8606,1642.0,0.0006939125
14,1634.7316,1672.0,0.022289732
97,1732.1008,1678.0,-0.03224126
133,1668.1011,1687.0,0.011202683
60,1692.3601,1694.0,0.00096805935
171,1790.0237,1707.0,-0.04863719
104,1777.521,1741.0,-0.020977022
5,1691.3788,1744.0,0.030172715
151,1841.2583,1776.0,-0.03674454
34,1752.0273,1776.0,0.013498117
12,1848.5173,1883.0,0.018312622
21,1897.6382,1902.0,0.002293279
15,1880.3096,1903.0,0.011923505
10,1970.3325,1985.0,0.007389159
69,1982.6812,1987.0,0.0021735518
170,2067.552,2034.0,-0.016495576
67,2078.0803,2058.0,-0.009757202
136,2087.0137,2102.0,0.0071295565
61,2113.9233,2193.0,0.036058668
82,2236.1177,2195.0,-0.018732427
45,2200.543,2229.0,0.012766725
85,2269.9697,2239.0,-0.013831946
177,2362.6255,2381.0,0.0077171405
8,2475.747,2423.0,-0.021769322
53,2417.774,2456.0,0.0155643625
19,2507.917,2463.0,-0.0182367
52,2526.0142,2467.0,-0.023921426
24,2549.2866,2524.0,-0.010018471
121,2963.7646,2977.0,0.004445869
30,3116.6924,3046.0,-0.023208268
