,output,target,rel_error
0,151.99944,80.0,-0.89999294
146,151.73338,87.0,-0.7440619
135,163.70598,114.0,-0.43601736
89,144.48611,114.0,-0.26742205
81,173.60509,117.0,-0.48380417
126,198.82912,132.0,-0.5062812
168,191.45209,145.0,-0.32035923
19,195.37035,163.0,-0.19859108
16,215.27379,179.0,-0.20264687
86,229.09486,185.0,-0.23835061
134,210.6097,192.0,-0.0969255
37,216.60606,193.0,-0.12231121
132,254.91104,203.0,-0.25571942
20,243.10037,219.0,-0.11004736
68,232.23083,231.0,-0.0053282897
8,268.24832,231.0,-0.16124815
17,265.7608,255.0,-0.042199228
45,253.2484,255.0,0.0068690283
74,219.28142,257.0,0.1467649
151,298.0117,285.0,-0.045655046
109,302.12738,297.0,-0.017263906
6,359.57724,298.0,-0.20663503
149,316.9243,302.0,-0.049418166
61,291.07874,304.0,0.04250416
12,286.57962,307.0,0.06651589
121,342.86673,318.0,-0.07819726
115,322.11105,326.0,0.011929284
131,310.776,333.0,0.06673873
107,354.7046,337.0,-0.052535877
67,321.9826,342.0,0.058530394
127,334.0735,343.0,0.02602482
174,328.40985,344.0,0.0453202
29,369.7787,352.0,-0.05050763
26,390.306,357.0,-0.093294114
41,328.24402,360.0,0.08821106
49,374.28925,360.0,-0.03969235
55,338.9345,363.0,0.066296116
172,372.65247,372.0,-0.0017539404
140,352.3197,373.0,0.055443157
59,390.80804,379.0,-0.03115579
7,382.8117,383.0,0.00049162784
69,348.55182,390.0,0.106277384
76,380.87018,399.0,0.045438148
102,362.14417,403.0,0.101379246
156,425.01337,432.0,0.016172763
120,445.5175,433.0,-0.028908744
56,418.48523,445.0,0.059583753
176,473.03333,466.0,-0.015092973
21,474.277,487.0,0.02612524
144,524.7991,489.0,-0.073208734
148,507.4527,491.0,-0.03350855
52,520.3932,493.0,-0.055564277
75,504.13098,498.0,-0.012311208
138,529.43475,499.0,-0.06099149
44,515.7825,507.0,-0.017322427
50,486.42065,508.0,0.042479027
80,521.44293,531.0,0.017998245
27,562.1117,536.0,-0.04871585
158,534.9803,540.0,0.009295767
163,528.9656,544.0,0.02763681
117,576.5848,545.0,-0.05795372
119,578.81104,550.0,-0.0523837
111,581.30804,567.0,-0.025234647
88,520.57764,578.0,0.09934665
173,619.3667,596.0,-0.03920587
30,587.6006,602.0,0.023919292
155,590.32184,609.0,0.030670216
93,598.7715,609.0,0.016795592
4,690.0013,614.0,-0.123780586
33,653.9061,615.0,-0.06326199
152,654.4817,630.0,-0.038859826
114,621.923,632.0,0.015944662
51,621.72235,648.0,0.040551927
42,607.5801,659.0,0.078027196
136,684.64557,669.0,-0.0233865
35,657.9042,673.0,0.022430647
112,669.0786,675.0,0.008772424
170,702.6509,693.0,-0.013926232
28,723.2665,695.0,-0.040671192
36,719.2582,697.0,-0.031934258
150,656.8447,698.0,0.058961708
39,740.35583,718.0,-0.031136261
87,616.6019,730.0,0.15533982
128,621.9224,748.0,0.1685529
162,705.5598,755.0,0.06548369
48,730.2039,757.0,0.03539773
103,652.88324,758.0,0.13867646
