,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0
2,3762.0,3762.0,3762.0,3762.0,3762.0,3762.0,3762.0,3762.0,3762.0,3762.0
3,13420.0,13420.0,13420.0,13420.0,13420.0,13420.0,13420.0,13420.0,13420.0,13420.0
4,23362.0,23362.0,23362.0,23362.0,23362.0,23362.0,23362.0,23362.0,23362.0,23362.0
5,29531.0,29531.0,29531.0,29531.0,29531.0,29531.0,29531.0,29531.0,29531.0,29531.0
6,30313.0,30313.0,30313.0,30313.0,30313.0,30313.0,30313.0,30313.0,30313.0,30313.0
7,26280.0,26280.0,26280.0,26280.0,26280.0,26280.0,26280.0,26280.0,26280.0,26280.0
8,20980.0,20980.0,20980.0,20980.0,20980.0,20980.0,20980.0,20980.0,20980.0,20980.0
9,14662.0,14662.0,14662.0,14662.0,14662.0,14662.0,14662.0,14662.0,14662.0,14662.0
10,9255.0,9255.0,9255.0,9255.0,9255.0,9255.0,9255.0,9255.0,9255.0,9255.0
11,5130.0,5130.0,5130.0,5130.0,5130.0,5130.0,5130.0,5130.0,5130.0,5130.0
12,2752.0,2752.0,2752.0,2752.0,2752.0,2752.0,2752.0,2752.0,2752.0,2752.0
13,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0
14,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0
15,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
16,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
17,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
