,output,target,rel_error
149,102.43527,91.0,-0.12566233
29,103.596176,92.0,-0.12604539
173,98.686226,97.0,-0.017383773
170,121.98392,102.0,-0.19592075
106,115.75692,104.0,-0.11304731
159,147.72815,153.0,0.03445654
117,175.55751,161.0,-0.09041932
52,194.99448,192.0,-0.0155962305
76,191.32347,213.0,0.10176774
26,208.63986,215.0,0.029582037
154,203.19904,218.0,0.06789433
31,224.6278,219.0,-0.025697751
41,223.096,238.0,0.06262188
65,253.59271,242.0,-0.04790377
175,287.76285,288.0,0.0008234448
165,308.49692,293.0,-0.052890506
17,269.9911,294.0,0.08166296
24,283.02063,303.0,0.06593852
74,289.51895,311.0,0.0690709
39,265.5853,316.0,0.1595402
177,337.2147,320.0,-0.05379591
169,305.92313,329.0,0.07014247
97,311.91415,329.0,0.051932663
146,346.2001,337.0,-0.027300011
157,317.96313,344.0,0.07568856
118,378.6662,346.0,-0.09441098
129,360.97748,346.0,-0.04328751
78,330.28436,353.0,0.06435025
48,380.41196,357.0,-0.06557971
145,357.89655,360.0,0.0058429292
119,396.3048,371.0,-0.06820703
114,370.11057,372.0,0.005079126
95,364.23346,373.0,0.02350279
80,350.47583,373.0,0.060386516
113,362.7503,376.0,0.03523855
168,367.2589,379.0,0.030979127
6,369.7162,383.0,0.034683585
9,380.12405,403.0,0.056764133
69,379.41864,407.0,0.06776747
172,345.20468,419.0,0.17612247
51,411.42886,432.0,0.04761837
103,386.9126,434.0,0.108496316
124,440.89453,445.0,0.009225773
33,480.4598,458.0,-0.049038883
135,480.73373,462.0,-0.040549207
44,455.9749,465.0,0.019408787
47,479.9371,466.0,-0.029907947
163,470.1808,484.0,0.028552094
96,450.47803,490.0,0.08065709
53,502.39868,500.0,-0.004797363
37,500.43262,507.0,0.012953417
100,505.74634,507.0,0.0024727064
142,498.7439,515.0,0.03156525
125,527.4326,562.0,0.0615078
139,555.0124,570.0,0.026294053
68,583.30945,602.0,0.031047428
23,609.3703,616.0,0.0107625
67,609.4363,620.0,0.01703826
25,630.4397,627.0,-0.0054859607
66,619.1859,632.0,0.020275453
83,649.5033,657.0,0.011410508
161,624.7716,669.0,0.0661112
45,643.18396,675.0,0.047134873
55,600.02136,699.0,0.14160034
107,724.145,699.0,-0.035972845
20,720.6414,703.0,-0.02509448
59,750.0676,713.0,-0.051988255
8,750.2778,721.0,-0.040607173
34,718.59485,729.0,0.014273184
28,687.5825,730.0,0.05810614
150,760.92505,740.0,-0.028277094
174,784.6384,740.0,-0.0603222
111,720.6801,741.0,0.027422247
84,776.6253,755.0,-0.028642789
122,708.71387,761.0,0.06870714
94,714.2604,768.0,0.06997347
90,787.9866,793.0,0.006322103
60,778.27747,794.0,0.01980168
160,810.14514,803.0,-0.008898059
4,797.25464,811.0,0.016948657
11,790.3019,815.0,0.030304441
144,784.5036,815.0,0.037418894
98,826.1868,821.0,-0.006317696
148,788.1728,824.0,0.04347962
88,811.6206,832.0,0.024494465
171,801.74817,842.0,0.047805026
79,843.43835,843.0,-0.0005199935
62,884.6631,868.0,-0.019197104
138,836.0299,869.0,0.037940267
3,918.57007,874.0,-0.050995503
151,905.93585,886.0,-0.022500962
166,902.9102,888.0,-0.016790785
141,888.1929,896.0,0.008713313
143,895.7124,899.0,0.0036569496
110,925.63135,901.0,-0.02733779
50,975.2468,912.0,-0.06934959
63,966.5939,913.0,-0.058700845
85,935.81964,949.0,0.013888681
131,980.465,962.0,-0.019194415
71,881.4481,965.0,0.08658226
115,1026.2194,980.0,-0.04716261
105,1024.8502,990.0,-0.035202242
153,913.61084,1005.0,0.090934485
120,1040.5688,1024.0,-0.016180515
42,1108.5027,1026.0,-0.08041197
130,1067.9214,1028.0,-0.038834035
82,1009.062,1054.0,0.042635664
58,1114.8276,1082.0,-0.030339776
21,1116.4537,1136.0,0.017206218
38,1029.017,1141.0,0.098144636
77,1136.7305,1148.0,0.009816665
128,1173.1753,1160.0,-0.0113580115
81,1100.366,1167.0,0.05709857
2,1220.2035,1172.0,-0.041129258
155,1147.6953,1176.0,0.024068613
104,1152.8042,1192.0,0.032882385
22,1212.3063,1222.0,0.007932672
147,1201.1747,1233.0,0.025811287
136,1268.6355,1255.0,-0.010864939
27,1286.2668,1271.0,-0.012011681
178,1187.8569,1286.0,0.076316535
92,1264.8916,1289.0,0.01870318
123,1323.0713,1298.0,-0.019315323
158,1365.4222,1304.0,-0.047102947
72,1327.9792,1304.0,-0.018388994
121,1343.7596,1327.0,-0.012629724
14,1298.3203,1339.0,0.030380648
57,1320.427,1342.0,0.01607526
35,1314.9197,1363.0,0.035275366
126,1372.6947,1369.0,-0.002698833
133,1377.7788,1382.0,0.0030544077
91,1408.7528,1402.0,-0.004816553
19,1259.397,1403.0,0.10235426
56,1415.1498,1409.0,-0.004364642
40,1369.0344,1418.0,0.034531437
5,1403.3159,1421.0,0.012444815
89,1328.4594,1443.0,0.07937675
116,1424.8651,1453.0,0.019363308
112,1515.8568,1474.0,-0.028396752
18,1427.0125,1475.0,0.032533932
176,1454.1632,1489.0,0.023396099
73,1483.9562,1491.0,0.0047242274
10,1498.48,1516.0,0.011556741
156,1476.1483,1526.0,0.032668207
0,1535.7788,1564.0,0.01804424
13,1450.4183,1567.0,0.074397996
93,1573.1201,1581.0,0.004984113
15,1618.4666,1586.0,-0.020470714
152,1489.9828,1629.0,0.08533899
132,1670.7456,1641.0,-0.018126512
64,1650.1863,1654.0,0.002305756
1,1696.2299,1687.0,-0.0054711667
16,1721.3467,1689.0,-0.019151378
36,1768.7402,1707.0,-0.036168855
101,1569.6124,1730.0,0.09270958
140,1736.2695,1747.0,0.006142226
61,1845.186,1769.0,-0.04306729
108,1843.2235,1839.0,-0.0022966345
12,1884.8875,1857.0,-0.015017475
134,1847.4507,1863.0,0.008346385
179,1761.2705,1925.0,0.08505428
127,1899.5815,1942.0,0.021842666
102,1974.113,1953.0,-0.010810567
46,1960.9553,1965.0,0.0020583603
162,2043.0563,2058.0,0.0072612856
137,1971.3303,2071.0,0.048126355
87,2020.2604,2088.0,0.03244235
109,2060.9688,2109.0,0.022774419
30,2095.9827,2119.0,0.010862357
43,2209.495,2195.0,-0.0066036982
32,2158.2656,2250.0,0.040770832
70,2443.9563,2364.0,-0.033822462
7,2293.5137,2383.0,0.03755196
49,2350.665,2402.0,0.021371758
164,2413.4355,2452.0,0.015727755
86,2613.0085,2500.0,-0.045203418
54,2485.2102,2502.0,0.0067105494
167,2463.704,2560.0,0.037615586
75,2867.118,2977.0,0.03691034
99,3940.1492,3935.0,-0.0013085565
