,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,129.0,117.0,141.0,111.0,125.0,109.0,121.0,119.0,126.0,130.0
2,3754.0,3588.0,3751.0,3880.0,3927.0,3796.0,3892.0,3887.0,3846.0,3810.0
3,12827.0,12885.0,13358.0,13467.0,14299.0,13572.0,13642.0,13286.0,13762.0,13564.0
4,22352.0,22773.0,23680.0,23120.0,24576.0,24057.0,23860.0,22990.0,24119.0,23694.0
5,27536.0,28375.0,29810.0,28863.0,30943.0,29907.0,29863.0,28196.0,30229.0,29443.0
6,28109.0,28957.0,30536.0,29732.0,31764.0,30667.0,30550.0,28883.0,31091.0,29876.0
7,24288.0,25226.0,27260.0,25843.0,27946.0,26541.0,26675.0,24882.0,27336.0,26150.0
8,19316.0,19997.0,21413.0,20512.0,21637.0,20713.0,21079.0,19299.0,21253.0,20791.0
9,13435.0,14491.0,15016.0,14691.0,15229.0,14544.0,14981.0,13211.0,15082.0,14787.0
10,8720.0,9438.0,9376.0,9659.0,9818.0,9347.0,9727.0,8259.0,9725.0,9706.0
11,4920.0,5657.0,5356.0,5806.0,5414.0,5254.0,5718.0,4954.0,5632.0,5744.0
12,2549.0,2953.0,2711.0,3184.0,2851.0,2758.0,3032.0,2501.0,2971.0,3154.0
13,1144.0,1490.0,1209.0,1620.0,1381.0,1294.0,1519.0,1347.0,1483.0,1689.0
14,434.0,647.0,455.0,706.0,598.0,514.0,594.0,638.0,685.0,823.0
15,148.0,261.0,128.0,263.0,215.0,156.0,175.0,276.0,316.0,390.0
16,59.0,93.0,34.0,103.0,54.0,36.0,55.0,111.0,112.0,149.0
17,1.0,14.0,7.0,17.0,5.0,2.0,7.0,16.0,19.0,30.0
18,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
