,output,target,rel_error
22,121.15732,10.0,-11.115732
57,163.02084,67.0,-1.433147
149,170.87032,78.0,-1.1906451
73,176.83112,80.0,-1.2103889
135,152.38564,87.0,-0.751559
110,154.50359,90.0,-0.7167065
12,170.42976,97.0,-0.7570079
113,156.99016,137.0,-0.14591356
80,255.8516,144.0,-0.77674717
61,241.33691,145.0,-0.66439253
107,188.90323,153.0,-0.23466162
133,210.48117,155.0,-0.35794303
86,226.37637,169.0,-0.33950517
94,226.58252,174.0,-0.30219838
151,227.08707,192.0,-0.18274514
40,244.26636,194.0,-0.25910494
95,303.1397,201.0,-0.50815773
175,280.02484,210.0,-0.33345163
132,252.19409,231.0,-0.09174932
26,238.79245,235.0,-0.016138084
168,295.39172,243.0,-0.2156038
45,306.55823,252.0,-0.21650091
124,298.4239,255.0,-0.17028975
139,288.97226,269.0,-0.07424632
21,298.84753,279.0,-0.071138114
146,325.05112,301.0,-0.07990404
176,329.00287,307.0,-0.071670584
97,358.63214,320.0,-0.12072544
60,363.58585,326.0,-0.11529401
119,374.38068,338.0,-0.10763514
39,350.19354,342.0,-0.023957727
152,407.10718,344.0,-0.1834511
127,391.88803,363.0,-0.07958135
34,399.48074,365.0,-0.09446779
9,452.937,365.0,-0.24092332
115,454.16083,373.0,-0.21758935
10,409.63556,376.0,-0.089456275
8,428.23553,379.0,-0.12990907
5,418.00714,381.0,-0.0971316
71,366.57495,419.0,0.12511945
137,470.34753,433.0,-0.086252965
6,498.88617,435.0,-0.14686476
117,501.6569,451.0,-0.112321265
147,502.2556,462.0,-0.08713336
136,560.1355,491.0,-0.1408055
178,470.1379,491.0,0.042488985
142,599.5,504.0,-0.18948413
36,634.9057,510.0,-0.24491315
37,582.9294,513.0,-0.13631459
108,579.3626,530.0,-0.093136996
89,618.789,531.0,-0.16532768
126,497.9613,536.0,0.07096772
173,586.0132,537.0,-0.09127222
96,551.81805,540.0,-0.021885285
85,572.64484,544.0,-0.05265595
172,562.8255,549.0,-0.025183061
103,629.2858,562.0,-0.119725674
105,677.2234,582.0,-0.16361406
42,619.5886,592.0,-0.046602406
13,608.9037,609.0,0.00015815021
111,678.5119,614.0,-0.105068244
49,666.7749,634.0,-0.05169543
160,689.2327,637.0,-0.081998
158,649.5613,638.0,-0.018121127
19,708.07196,644.0,-0.09949062
150,689.92065,650.0,-0.06141639
99,766.73474,666.0,-0.15125337
54,756.49365,669.0,-0.13078274
68,763.24023,686.0,-0.112595096
163,722.05426,695.0,-0.038926993
144,800.4343,697.0,-0.14839932
48,744.62616,698.0,-0.066799656
41,703.9398,719.0,0.02094601
87,843.3764,731.0,-0.15372969
15,821.07684,735.0,-0.117111355
81,711.39624,746.0,0.046385735
131,696.21454,763.0,0.08753009
102,885.75793,771.0,-0.14884298
59,801.6288,786.0,-0.01988395
143,931.75824,792.0,-0.17646243
153,851.6642,793.0,-0.07397754
128,772.5543,795.0,0.028233558
14,815.8113,800.0,-0.0197641
120,839.9848,806.0,-0.042164765
92,805.11194,811.0,0.0072602485
52,810.69324,812.0,0.0016093137
93,899.4435,842.0,-0.068222664
58,886.3706,858.0,-0.033065975
79,863.66846,869.0,0.0061352625
7,948.2987,880.0,-0.07761217
33,885.4448,883.0,-0.0027687703
75,978.72296,885.0,-0.10590165
18,999.06433,888.0,-0.12507245
140,933.44934,894.0,-0.04412678
69,1040.7739,901.0,-0.155132
122,855.9061,911.0,0.06047626
91,946.84717,913.0,-0.037072472
123,942.6019,931.0,-0.012461793
23,1008.46484,937.0,-0.07626984
179,954.2451,955.0,0.0007904532
38,962.0436,960.0,-0.0021287282
148,948.25867,965.0,0.017348532
47,1090.0156,970.0,-0.12372745
162,973.0283,978.0,0.005083517
118,916.9191,995.0,0.07847324
83,958.22095,1009.0,0.050326116
114,1095.9578,1019.0,-0.07552283
