,0,1,2,3
0,0.0,0.0,0.0,0.0
1,124.0,133.0,128.0,115.0
2,3998.0,3834.0,3819.0,3748.0
3,14035.0,13759.0,13622.0,12789.0
4,24508.0,23599.0,23622.0,22287.0
5,30437.0,29381.0,29020.0,27577.0
6,30719.0,29601.0,29464.0,28604.0
7,27094.0,25926.0,25332.0,24661.0
8,21314.0,19874.0,19330.0,19857.0
9,14988.0,14119.0,12930.0,13852.0
10,9718.0,9050.0,7984.0,9056.0
11,5726.0,5047.0,4242.0,5215.0
12,2985.0,2553.0,2055.0,2576.0
13,1569.0,1177.0,977.0,1249.0
14,644.0,425.0,433.0,496.0
15,209.0,102.0,138.0,168.0
16,59.0,28.0,32.0,31.0
17,12.0,1.0,4.0,3.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
