,output,target,rel_error
83,23.110468,10.0,1.3110468
107,56.947803,65.0,0.12387995
110,87.99187,80.0,0.09989834
75,73.057846,87.0,0.16025464
178,76.01251,90.0,0.15541653
152,87.98912,92.0,0.043596517
165,93.704056,95.0,0.013641518
93,81.05932,114.0,0.28895333
140,99.067055,137.0,0.2768828
103,148.05505,145.0,0.021069337
99,147.90968,156.0,0.051861007
88,153.27231,157.0,0.023743259
54,171.46336,174.0,0.014578369
132,182.48279,179.0,0.019456917
0,194.2089,202.0,0.038569838
46,224.96931,220.0,0.022587793
98,231.87784,221.0,0.049220987
163,217.30408,229.0,0.051073898
123,229.12311,232.0,0.012400397
136,204.68892,238.0,0.13996252
85,250.848,242.0,0.036562014
56,263.88962,247.0,0.06837902
66,248.43707,252.0,0.0141386
22,248.29073,255.0,0.02631088
57,211.49919,257.0,0.17704594
150,278.90393,269.0,0.036817588
137,258.84137,274.0,0.055323467
27,286.4473,301.0,0.048347853
86,301.95618,302.0,0.00014511007
174,297.98492,329.0,0.09427074
97,345.44363,338.0,0.022022586
134,336.78232,339.0,0.0065418347
151,334.2568,360.0,0.07150888
109,361.98718,362.0,3.5407134e-05
126,369.46768,365.0,0.0122402245
60,354.35498,373.0,0.04998665
82,374.36166,376.0,0.004357277
127,340.42358,381.0,0.106499776
154,346.96368,390.0,0.11034953
96,435.94846,403.0,0.081757955
26,400.21097,406.0,0.0142586995
48,342.4069,419.0,0.18279979
5,470.3176,437.0,0.07624164
29,435.9145,445.0,0.020416876
157,431.74084,453.0,0.046929702
162,437.68533,454.0,0.03593539
179,486.00476,458.0,0.061145768
74,472.59567,470.0,0.0055227075
58,500.18466,473.0,0.05747286
76,511.51114,486.0,0.052492056
39,516.3005,493.0,0.047262628
47,510.56763,500.0,0.021135254
90,517.9294,507.0,0.021556968
61,533.532,507.0,0.052331325
51,511.67764,513.0,0.0025776944
1,536.8521,535.0,0.0034618913
69,563.33936,537.0,0.04904908
144,549.3229,540.0,0.017264586
9,589.79254,540.0,0.09220841
79,524.33734,553.0,0.05183121
35,538.9615,566.0,0.047771223
168,541.65485,566.0,0.043012638
14,584.1901,578.0,0.010709558
170,588.3552,582.0,0.01091963
55,642.6157,601.0,0.06924413
143,654.89905,610.0,0.07360499
160,630.54626,616.0,0.023614066
42,613.3732,623.0,0.01545228
73,655.6723,634.0,0.034183443
131,648.5588,657.0,0.012848132
124,643.9548,660.0,0.02431095
23,623.54755,660.0,0.05523099
77,640.77014,669.0,0.042197097
101,607.1241,671.0,0.09519511
28,738.3883,689.0,0.07168114
50,712.0319,697.0,0.021566601
52,690.40704,719.0,0.03976767
34,715.69257,721.0,0.0073612123
153,756.958,744.0,0.017416677
141,720.8697,746.0,0.033686742
148,651.7874,748.0,0.12862645
95,758.9165,749.0,0.013239658
130,731.9211,761.0,0.038211457
159,769.65564,766.0,0.0047723753
11,768.6381,783.0,0.018342117
117,805.6124,812.0,0.007866469
68,832.6291,832.0,0.000756117
169,879.0318,837.0,0.050217204
91,826.4028,840.0,0.016187178
164,868.6817,851.0,0.020777557
3,872.45807,856.0,0.019226717
114,842.64105,866.0,0.026973382
37,925.0027,895.0,0.033522554
15,940.1197,901.0,0.04341808
102,865.38824,906.0,0.044825338
2,970.4066,918.0,0.057087816
65,928.8751,926.0,0.0031048835
121,996.90564,936.0,0.06507013
44,892.19073,943.0,0.05388045
40,1006.5166,958.0,0.050643634
92,915.11835,965.0,0.05169083
36,1043.012,980.0,0.06429792
59,1019.68304,981.0,0.039432257
167,1036.5283,990.0,0.046998303
8,1026.1913,997.0,0.029279122
80,1049.7502,1024.0,0.025146723
106,1145.7262,1093.0,0.048239887
138,1176.2986,1129.0,0.041894227
100,1190.7225,1149.0,0.03631204
30,1158.9453,1160.0,0.0009092134
158,1186.8611,1192.0,0.0043111714
45,1256.4729,1207.0,0.04098832
49,1141.3213,1218.0,0.062954605
177,1273.5026,1236.0,0.03034188
20,1294.1061,1242.0,0.041953366
21,1285.1327,1243.0,0.03389597
161,1272.6661,1267.0,0.00447209
116,1347.2537,1298.0,0.03794581
13,1295.6447,1315.0,0.014718895
89,1346.9775,1322.0,0.01889375
84,1421.4751,1368.0,0.039089985
24,1437.9478,1369.0,0.05036359
142,1323.0309,1380.0,0.04128197
105,1407.0867,1382.0,0.018152438
111,1429.908,1402.0,0.019905819
53,1380.9567,1420.0,0.027495306
145,1431.1976,1421.0,0.007176377
125,1530.9542,1482.0,0.03303254
12,1370.2823,1491.0,0.08096422
94,1531.1055,1516.0,0.009964029
128,1536.8877,1544.0,0.004606415
62,1592.2252,1547.0,0.029234143
6,1496.0277,1567.0,0.045291826
139,1542.7714,1581.0,0.024180036
146,1654.3907,1619.0,0.021859635
119,1620.2611,1631.0,0.006584238
10,1697.46,1639.0,0.035668068
156,1705.2422,1641.0,0.039148193
43,1642.5673,1672.0,0.017603314
7,1682.5956,1687.0,0.0026107996
175,1740.5712,1687.0,0.031755287
25,1759.5656,1689.0,0.041779485
112,1699.9117,1694.0,0.003489813
149,1769.8171,1695.0,0.044139903
129,1665.8486,1706.0,0.023535386
147,1650.5184,1744.0,0.053601816
63,1791.4857,1760.0,0.017889613
87,1782.8978,1763.0,0.011286345
31,1832.5667,1764.0,0.038869984
172,1743.4436,1802.0,0.032495227
173,1855.6027,1847.0,0.00465764
133,1815.2999,1883.0,0.035953306
176,1831.1036,1925.0,0.04877733
32,1914.7734,1944.0,0.01503424
113,2023.5935,1953.0,0.03614619
33,1990.4626,1957.0,0.01709895
70,1990.4293,1965.0,0.01294113
67,2077.512,1993.0,0.0424044
166,1940.3757,1993.0,0.02640455
4,2040.6389,2000.0,0.020319458
118,2082.7937,2015.0,0.033644516
18,2110.695,2086.0,0.01183848
81,2164.06,2087.0,0.03692384
19,2058.255,2102.0,0.020811187
120,2167.415,2110.0,0.02721092
38,2144.3728,2141.0,0.0015753399
71,2240.2988,2195.0,0.02063728
64,2288.5493,2273.0,0.006840878
72,2260.3025,2308.0,0.020666165
17,2372.7485,2336.0,0.015731394
104,2335.463,2362.0,0.011235016
122,2472.7898,2423.0,0.020548822
171,2507.7244,2463.0,0.018158492
41,2663.7336,2584.0,0.030856673
115,2740.226,2728.0,0.004481699
155,2753.9683,2758.0,0.0014618341
78,2844.7344,2781.0,0.02291779
135,2926.551,2900.0,0.009155526
16,3157.2734,3358.0,0.05977563
108,3569.9785,3545.0,0.007046126
