,output,target,rel_error
63,92.57181,114.0,0.1879666
139,66.55804,114.0,0.41615757
39,134.45033,132.0,0.018563125
108,111.40094,135.0,0.17480785
60,134.95132,155.0,0.1293463
40,161.25558,174.0,0.07324377
22,179.71976,193.0,0.06880955
3,178.68466,194.0,0.07894504
95,219.22858,203.0,0.079943724
172,183.09691,218.0,0.16010593
162,215.98567,229.0,0.056831125
136,255.7217,269.0,0.049361728
107,320.53857,298.0,0.075632796
118,295.4728,301.0,0.01836276
131,300.50113,301.0,0.0016573783
123,322.62585,313.0,0.030753529
153,313.49753,318.0,0.014158716
129,316.8408,326.0,0.028095737
42,304.1177,329.0,0.07563007
149,282.7738,330.0,0.14310968
65,346.9585,346.0,0.00277022
80,361.50656,346.0,0.04481665
125,342.07208,360.0,0.04979977
115,321.80234,363.0,0.11349218
105,359.7643,367.0,0.01971577
25,305.18964,369.0,0.17292781
120,367.77625,371.0,0.008689366
151,383.64484,371.0,0.034083117
176,361.59238,373.0,0.030583441
78,372.50903,381.0,0.022286002
173,397.57376,434.0,0.08393142
37,447.34262,457.0,0.02113212
14,390.6761,461.0,0.15254645
61,452.71585,465.0,0.026417525
169,504.21973,473.0,0.06600365
158,483.58908,479.0,0.009580544
68,502.69507,489.0,0.028006274
159,511.01666,491.0,0.040767133
8,491.64743,493.0,0.002743549
44,507.13785,494.0,0.026594834
32,512.6132,498.0,0.029343816
23,514.5913,500.0,0.029182617
122,540.3458,507.0,0.06577086
126,530.1575,513.0,0.033445362
93,490.41644,515.0,0.04773506
1,515.244,516.0,0.0014650803
146,535.979,531.0,0.009376655
102,533.5585,533.0,0.0010477892
64,533.9037,537.0,0.005765947
160,555.1702,547.0,0.014936429
16,522.5046,555.0,0.05855031
154,595.6113,566.0,0.052316833
83,512.0222,567.0,0.09696258
57,559.7151,567.0,0.01284817
156,591.93823,578.0,0.024114588
163,590.658,582.0,0.014876323
7,641.19855,601.0,0.066886105
50,582.2321,605.0,0.037632864
157,581.2475,609.0,0.045570612
147,611.221,615.0,0.006144702
142,635.2163,632.0,0.005089096
35,665.2291,639.0,0.041047145
106,575.4128,643.0,0.105112314
132,610.80054,648.0,0.05740658
33,667.20593,661.0,0.009388703
52,690.3169,674.0,0.024209043
144,676.8338,675.0,0.0027167427
114,645.9258,679.0,0.04871019
178,743.84094,689.0,0.079594985
96,683.6031,692.0,0.012134265
20,712.75366,692.0,0.02999084
66,706.0731,702.0,0.0058021653
179,698.91174,706.0,0.010040024
121,687.92694,709.0,0.029722227
76,729.1757,741.0,0.015957193
74,756.61646,749.0,0.010168832
150,741.13275,755.0,0.018367216
27,747.0364,757.0,0.013161985
167,643.4715,758.0,0.151093
135,733.8282,761.0,0.035705406
111,738.3106,763.0,0.03235831
140,755.88434,766.0,0.013205824
109,819.3434,772.0,0.06132563
82,757.4671,783.0,0.032609064
81,811.2778,786.0,0.032160014
79,817.2781,800.0,0.021597596
19,808.0799,803.0,0.006326146
69,818.453,826.0,0.009136801
143,813.2095,832.0,0.022584768
49,818.0902,845.0,0.031845905
