,output,target,rel_error
63,96.58937,114.0,0.15272482
139,70.337654,114.0,0.38300303
39,142.54317,132.0,-0.07987248
108,120.14419,135.0,0.11004305
60,143.08449,155.0,0.07687427
40,175.17293,174.0,-0.0067409645
22,174.9825,193.0,0.09335493
3,187.63394,194.0,0.032814734
95,227.43797,203.0,-0.120384105
172,187.59866,218.0,0.13945568
162,223.85945,229.0,0.022447811
136,263.4601,269.0,0.020594373
107,330.95297,298.0,-0.110580444
118,301.78967,301.0,-0.0026234977
131,312.10876,301.0,-0.036906194
123,331.533,313.0,-0.05921083
153,299.34818,318.0,0.058653537
129,318.3757,326.0,0.023387417
42,304.5617,329.0,0.07428053
149,271.74725,330.0,0.17652348
65,360.11777,346.0,-0.040802795
80,381.0575,346.0,-0.10132224
125,338.63324,360.0,0.05935211
115,304.7326,363.0,0.16051625
105,370.9452,367.0,-0.010749837
25,287.60486,369.0,0.22058304
120,379.7441,371.0,-0.02356903
151,379.1139,371.0,-0.021870328
176,353.76395,373.0,0.05157119
78,380.4245,381.0,0.0015105
173,397.7402,434.0,0.08354792
37,455.60706,457.0,0.0030480183
14,381.83472,461.0,0.17172512
61,450.94534,465.0,0.030225068
169,492.50702,473.0,-0.041241053
158,496.46542,479.0,-0.036462262
68,503.09744,489.0,-0.028829126
159,525.51276,491.0,-0.070290744
8,506.10995,493.0,-0.0265922
44,524.9437,494.0,-0.06263912
32,529.685,498.0,-0.063624494
23,531.4815,500.0,-0.06296302
122,563.4957,507.0,-0.11143141
126,541.8545,513.0,-0.056246575
93,495.12524,515.0,0.038591757
1,507.47998,516.0,0.016511666
146,549.07404,531.0,-0.03403773
102,542.76025,533.0,-0.018311922
64,548.85315,537.0,-0.022072904
160,564.57416,547.0,-0.03212826
16,522.3844,555.0,0.05876685
154,580.2785,566.0,-0.025227038
83,505.49786,567.0,0.108469374
57,544.2187,567.0,0.04017868
156,601.3049,578.0,-0.040319845
163,607.79065,582.0,-0.04431383
7,676.35046,601.0,-0.12537515
50,581.847,605.0,0.038269445
157,569.2796,609.0,0.06522233
147,624.79144,615.0,-0.015921045
142,639.9066,632.0,-0.012510468
35,660.27997,639.0,-0.033301983
106,563.7562,643.0,0.12324071
132,594.0528,648.0,0.083251856
33,664.1317,661.0,-0.0047378424
52,706.08344,674.0,-0.047601536
144,692.08514,675.0,-0.025311325
114,651.0422,679.0,0.041175
178,774.32214,689.0,-0.12383475
96,690.038,692.0,0.0028352241
20,717.00116,692.0,-0.036128845
66,714.7179,702.0,-0.01811666
179,700.66437,706.0,0.007557553
121,701.5675,709.0,0.0104830675
76,709.78815,741.0,0.042121258
74,770.21234,749.0,-0.028320882
150,771.5957,755.0,-0.021981064
27,759.328,757.0,-0.0030753012
167,644.71814,758.0,0.14944836
135,735.3813,761.0,0.03366454
111,751.04584,763.0,0.015667317
140,751.7006,766.0,0.018667595
109,842.1641,772.0,-0.09088617
82,737.49805,783.0,0.058112327
81,837.5979,786.0,-0.06564619
79,841.2824,800.0,-0.05160301
19,797.08105,803.0,0.00737104
69,812.6105,826.0,0.016210081
143,797.97815,832.0,0.040891647
49,804.90906,845.0,0.047444902
53,776.15546,867.0,0.104780324
165,908.6645,874.0,-0.039661888
47,964.5226,895.0,-0.07767887
43,882.0016,913.0,0.03395226
56,953.41187,955.0,0.0016629683
148,1000.24347,958.0,-0.04409548
98,996.9912,970.0,-0.02782599
70,966.2806,971.0,0.0048603723
177,915.37836,975.0,0.0611504
152,971.4268,976.0,0.0046856366
161,974.031,995.0,0.021074366
89,927.90796,998.0,0.0702325
6,1085.7491,1019.0,-0.06550456
91,1098.0255,1040.0,-0.055793762
46,994.9859,1049.0,0.051491037
166,1073.8834,1069.0,-0.004568216
24,1115.4187,1073.0,-0.039532807
62,1020.30524,1077.0,0.052641377
0,1131.417,1083.0,-0.044706363
171,1134.3185,1085.0,-0.045454822
127,1163.554,1088.0,-0.06944297
130,1080.9598,1108.0,0.024404477
155,1127.8281,1110.0,-0.016061373
94,1131.9072,1111.0,-0.018818386
41,1160.7177,1136.0,-0.021758497
51,1067.7036,1141.0,0.06423873
4,1186.4395,1209.0,0.018660503
31,1221.4434,1222.0,0.00045551607
11,1206.4523,1231.0,0.01994129
113,1329.329,1243.0,-0.069452114
58,1155.1188,1257.0,0.0810511
29,1274.3278,1271.0,-0.0026182209
28,1259.2601,1289.0,0.023072047
86,1312.3177,1298.0,-0.011030624
104,1293.9177,1315.0,0.016032148
145,1434.2024,1368.0,-0.048393562
88,1374.5592,1382.0,0.0053840782
10,1413.251,1409.0,-0.0030170167
26,1452.2386,1420.0,-0.022703273
67,1402.0775,1421.0,0.0133163165
100,1482.4993,1431.0,-0.03598831
90,1461.7438,1473.0,0.007641701
117,1439.5604,1475.0,0.02402683
48,1543.4491,1475.0,-0.04640617
92,1461.0209,1489.0,0.018790549
170,1494.1245,1490.0,-0.0027681286
71,1492.8175,1516.0,0.015291884
75,1485.459,1526.0,0.026566852
124,1537.0383,1548.0,0.007081182
174,1605.762,1554.0,-0.033308856
97,1496.6841,1562.0,0.041815568
9,1563.3619,1564.0,0.00040796772
30,1618.5623,1578.0,-0.025704851
15,1637.7421,1581.0,-0.035889983
141,1634.8436,1586.0,-0.030796738
77,1582.8436,1593.0,0.0063756257
5,1586.5984,1604.0,0.0108488845
133,1616.191,1631.0,0.009079681
87,1662.9457,1645.0,-0.010909227
138,1593.643,1657.0,0.038236003
119,1692.6005,1662.0,-0.018411832
45,1673.7997,1666.0,-0.004681682
17,1644.4563,1687.0,0.025218554
38,1713.7559,1718.0,0.0024703962
85,1751.0729,1741.0,-0.005785684
134,1679.911,1752.0,0.041146684
13,1813.0103,1799.0,-0.007787801
99,1768.7968,1799.0,0.01678891
72,1924.535,1839.0,-0.04651171
101,1819.3848,1925.0,0.05486506
18,1880.2932,1933.0,0.027266832
55,1951.7922,1957.0,0.0026610955
168,1987.3225,1983.0,-0.002179783
103,1974.938,1993.0,0.009062725
21,2032.8041,2058.0,0.012242917
36,2068.3506,2088.0,0.009410639
84,2161.1057,2108.0,-0.025192464
164,2107.3582,2115.0,0.0036131658
116,2152.5837,2141.0,-0.0054104347
137,2187.7124,2164.0,-0.010957672
110,2381.647,2193.0,-0.08602233
34,2325.3367,2229.0,-0.04321968
112,2482.7817,2358.0,-0.052918464
54,2545.313,2364.0,-0.07669754
175,2446.4,2391.0,-0.02317018
59,2485.6733,2402.0,-0.03483486
128,2518.6184,2467.0,-0.020923555
2,2630.518,2522.0,-0.043028574
12,3175.9375,2930.0,-0.08393771
73,3616.203,3545.0,-0.02008544
