,output,target,rel_error
63,93.283005,114.0,0.18172804
139,66.784904,114.0,0.4141675
39,135.68962,132.0,-0.027951675
108,111.92161,135.0,0.17095105
60,135.59084,155.0,0.12522042
40,161.73119,174.0,0.070510425
22,180.64465,193.0,0.06401734
3,179.13167,194.0,0.07664089
95,220.59802,203.0,-0.08668976
172,182.98001,218.0,0.16064215
162,216.35027,229.0,0.055239014
136,256.20126,269.0,0.047578946
107,322.21933,298.0,-0.08127292
118,296.08414,301.0,0.016331771
131,300.73135,301.0,0.00089251244
123,323.1847,313.0,-0.032538954
153,314.24503,318.0,0.0118080955
129,317.44897,326.0,0.02623014
42,304.04657,329.0,0.07584629
149,283.12085,330.0,0.14205803
65,347.6621,346.0,-0.004803784
80,362.69263,346.0,-0.048244588
125,343.22504,360.0,0.04659712
115,322.1313,363.0,0.112585984
105,360.48297,367.0,0.017757572
25,305.319,369.0,0.17257723
120,368.36282,371.0,0.0071082925
151,384.34335,371.0,-0.035965912
176,362.5913,373.0,0.02790534
78,372.92096,381.0,0.021204831
173,397.57092,434.0,0.083937965
37,448.5056,457.0,0.018587274
14,391.05603,461.0,0.15172228
61,453.61734,465.0,0.024478838
169,505.039,473.0,-0.06773573
158,484.2079,479.0,-0.0108724125
68,504.08554,489.0,-0.030849777
159,512.0425,491.0,-0.042856377
8,492.69397,493.0,0.00062075106
44,507.6901,494.0,-0.02771274
32,513.29944,498.0,-0.030721763
23,515.47797,500.0,-0.030955933
122,540.9486,507.0,-0.06695978
126,530.3427,513.0,-0.033806458
93,491.37653,515.0,0.045870822
1,515.91156,516.0,0.00017139524
146,535.6968,531.0,-0.008845155
102,534.045,533.0,-0.0019605684
64,534.71277,537.0,0.004259276
160,555.962,547.0,-0.016383866
16,522.57587,555.0,0.05842186
154,595.8892,566.0,-0.05280781
83,512.29626,567.0,0.09647925
57,560.4608,567.0,0.011532953
156,592.5636,578.0,-0.025196537
163,591.597,582.0,-0.016489664
7,642.3864,601.0,-0.06886259
50,581.5664,605.0,0.038733214
157,582.1066,609.0,0.04415989
147,611.7363,615.0,0.0053067836
142,636.1473,632.0,-0.0065621487
35,666.00757,639.0,-0.042265367
106,574.5437,643.0,0.10646392
132,611.44495,648.0,0.05641212
33,668.22186,661.0,-0.010925663
52,691.51355,674.0,-0.025984496
144,677.5956,675.0,-0.0038453052
114,646.13574,679.0,0.04840097
178,745.33356,689.0,-0.08176133
96,683.12054,692.0,0.012831584
20,714.17114,692.0,-0.032039225
66,705.65393,702.0,-0.0052050296
179,698.9303,706.0,0.010013742
121,687.8712,709.0,0.029800825
76,729.7991,741.0,0.015115961
74,757.28033,749.0,-0.011055186
150,740.0795,755.0,0.019762214
27,747.4023,757.0,0.012678622
167,641.77014,758.0,0.15333754
135,734.21045,761.0,0.035203088
111,737.7066,763.0,0.033149928
140,756.64905,766.0,0.012207509
109,820.27545,772.0,-0.06253297
82,757.9657,783.0,0.03197229
81,811.86774,786.0,-0.032910608
79,817.48376,800.0,-0.021854706
19,808.66846,803.0,-0.0070590996
69,818.90393,826.0,0.008590883
143,813.4648,832.0,0.022277905
49,818.75433,845.0,0.03105996
53,787.3119,867.0,0.09191247
165,913.83673,874.0,-0.045579784
47,931.84534,895.0,-0.041167974
43,897.58496,913.0,0.016883941
56,961.251,955.0,-0.006545525
148,1024.2866,958.0,-0.069192715
98,1029.3162,970.0,-0.06115068
70,986.6194,971.0,-0.016085874
177,927.64575,975.0,0.04856846
152,970.58264,976.0,0.005550572
161,950.22656,995.0,0.04499843
89,932.32336,998.0,0.06580825
6,1063.878,1019.0,-0.04404127
91,1081.9714,1040.0,-0.04035715
46,1021.79736,1049.0,0.02593197
166,1071.0326,1069.0,-0.0019013964
24,1101.1989,1073.0,-0.026280385
62,1028.9082,1077.0,0.04465348
0,1131.7845,1083.0,-0.04504575
171,1098.9852,1085.0,-0.0128896125
127,1147.012,1088.0,-0.054238938
130,1101.0176,1108.0,0.006301825
155,1126.6265,1110.0,-0.014978797
94,1137.2817,1111.0,-0.02365593
41,1156.3098,1136.0,-0.017878357
51,1093.252,1141.0,0.041847542
4,1202.195,1209.0,0.005628663
31,1241.0676,1222.0,-0.015603622
11,1207.9097,1231.0,0.018757379
113,1321.1304,1243.0,-0.062856294
58,1153.2451,1257.0,0.082541674
29,1287.3374,1271.0,-0.012853975
28,1275.4995,1289.0,0.010473614
