,rel_error[%],rel_error_mean[%],rel_error_std[%]
0,4.526216,4.6915803,4.9059834
1,2.2652264,4.6915803,4.9059834
2,4.5161176,4.6915803,4.9059834
3,4.6306653,4.6915803,4.9059834
4,2.3411148,4.6915803,4.9059834
5,0.98504806,4.6915803,4.9059834
6,6.5862746,4.6915803,4.9059834
7,12.704158,4.6915803,4.9059834
8,2.896799,4.6915803,4.9059834
9,0.1497937,4.6915803,4.9059834
10,0.33923244,4.6915803,4.9059834
11,2.712946,4.6915803,4.9059834
12,8.690056,4.6915803,4.9059834
13,0.86771023,4.6915803,4.9059834
14,18.08189,4.6915803,4.9059834
15,3.7416523,4.6915803,4.9059834
16,6.718046,4.6915803,4.9059834
17,3.2699578,4.6915803,4.9059834
18,3.1084545,4.6915803,4.9059834
19,1.3618821,4.6915803,4.9059834
20,4.041039,4.6915803,4.9059834
21,1.9559662,4.6915803,4.9059834
22,10.239304,4.6915803,4.9059834
23,6.0531864,4.6915803,4.9059834
24,4.125601,4.6915803,4.9059834
25,23.519005,4.6915803,4.9059834
26,2.3901799,4.6915803,4.9059834
27,0.030952968,4.6915803,4.9059834
28,3.0474582,4.6915803,4.9059834
29,0.33859864,4.6915803,4.9059834
30,1.9486382,4.6915803,4.9059834
31,0.5447912,4.6915803,4.9059834
32,6.0045967,4.6915803,4.9059834
33,0.3320922,4.6915803,4.9059834
34,4.53578,4.6915803,4.9059834
35,2.8669903,4.6915803,4.9059834
36,0.7877277,4.6915803,4.9059834
37,0.080801465,4.6915803,4.9059834
38,0.5319864,4.6915803,4.9059834
39,8.0777025,4.6915803,4.9059834
40,0.655707,4.6915803,4.9059834
41,2.1095169,4.6915803,4.9059834
42,9.0060625,4.6915803,4.9059834
43,4.3018217,4.6915803,4.9059834
44,5.8403726,4.6915803,4.9059834
45,0.5937043,4.6915803,4.9059834
46,5.607083,4.6915803,4.9059834
47,7.598086,4.6915803,4.9059834
48,4.4651585,4.6915803,4.9059834
49,5.0029974,4.6915803,4.9059834
50,5.1438107,4.6915803,4.9059834
51,7.035658,4.6915803,4.9059834
52,4.8564243,4.6915803,4.9059834
53,11.473011,4.6915803,4.9059834
54,7.9102287,4.6915803,4.9059834
55,0.94975317,4.6915803,4.9059834
56,0.32643265,4.6915803,4.9059834
57,4.742787,4.6915803,4.9059834
58,8.675053,4.6915803,4.9059834
59,3.7217827,4.6915803,4.9059834
60,9.095026,4.6915803,4.9059834
61,3.0256767,4.6915803,4.9059834
62,5.9709835,4.6915803,4.9059834
63,16.78068,4.6915803,4.9059834
64,1.9384403,4.6915803,4.9059834
65,3.662577,4.6915803,4.9059834
66,0.96089506,4.6915803,4.9059834
67,1.8864717,4.6915803,4.9059834
68,3.287773,4.6915803,4.9059834
69,2.2919145,4.6915803,4.9059834
70,1.0104241,4.6915803,4.9059834
71,1.9643819,4.6915803,4.9059834
72,4.908229,4.6915803,4.9059834
73,2.2438967,4.6915803,4.9059834
74,2.6975584,4.6915803,4.9059834
75,3.1293278,4.6915803,4.9059834
76,5.0347085,4.6915803,4.9059834
77,0.52731615,4.6915803,4.9059834
78,0.8841767,4.6915803,4.9059834
79,4.7718506,4.6915803,4.9059834
80,10.27623,4.6915803,4.9059834
81,6.343098,4.6915803,4.9059834
82,6.6806293,4.6915803,4.9059834
83,11.139885,4.6915803,4.9059834
84,2.7031279,4.6915803,4.9059834
85,0.11956721,4.6915803,4.9059834
86,0.707199,4.6915803,4.9059834
87,1.0630654,4.6915803,4.9059834
88,1.1519834,4.6915803,4.9059834
89,7.6239576,4.6915803,4.9059834
90,0.67738664,4.6915803,4.9059834
91,5.9053626,4.6915803,4.9059834
92,2.1868212,4.6915803,4.9059834
93,3.9333959,4.6915803,4.9059834
94,1.9173939,4.6915803,4.9059834
95,12.239187,4.6915803,4.9059834
96,1.2397546,4.6915803,4.9059834
97,4.6556616,4.6915803,4.9059834
98,2.7171972,4.6915803,4.9059834
99,1.7206417,4.6915803,4.9059834
100,3.6342661,4.6915803,4.9059834
101,5.378361,4.6915803,4.9059834
102,1.3986784,4.6915803,4.9059834
103,0.77288944,4.6915803,4.9059834
104,1.728033,4.6915803,4.9059834
105,0.6961999,4.6915803,4.9059834
106,13.705031,4.6915803,4.9059834
107,11.7128,4.6915803,4.9059834
108,12.660505,4.6915803,4.9059834
109,9.0407295,4.6915803,4.9059834
110,8.892552,4.6915803,4.9059834
111,2.3408303,4.6915803,4.9059834
112,5.5073695,4.6915803,4.9059834
113,7.052914,4.6915803,4.9059834
114,4.6248016,4.6915803,4.9059834
115,17.334808,4.6915803,4.9059834
116,0.65287375,4.6915803,4.9059834
117,2.8634467,4.6915803,4.9059834
118,0.62050045,4.6915803,4.9059834
119,1.9104666,4.6915803,4.9059834
120,1.7729315,4.6915803,4.9059834
121,1.6573327,4.6915803,4.9059834
122,10.71817,4.6915803,4.9059834
123,5.1963344,4.6915803,4.9059834
124,0.6098232,4.6915803,4.9059834
125,6.3217506,4.6915803,4.9059834
126,5.0032644,4.6915803,4.9059834
127,6.783732,4.6915803,4.9059834
128,2.290033,4.6915803,4.9059834
129,3.0870216,4.6915803,4.9059834
130,2.8722,4.6915803,4.9059834
131,2.4313993,4.6915803,4.9059834
132,9.363923,4.6915803,4.9059834
133,0.7894828,4.6915803,4.9059834
134,4.73977,4.6915803,4.9059834
135,3.7479594,4.6915803,4.9059834
136,3.2009423,4.6915803,4.9059834
137,0.86862844,4.6915803,4.9059834
138,4.292772,4.6915803,4.9059834
139,40.4211,4.6915803,4.9059834
140,1.7185062,4.6915803,4.9059834
141,3.2811825,4.6915803,4.9059834
142,1.5522244,4.6915803,4.9059834
143,4.94376,4.6915803,4.9059834
144,2.3237214,4.6915803,4.9059834
145,5.0183926,4.6915803,4.9059834
146,3.251059,4.6915803,4.9059834
147,1.3056165,4.6915803,4.9059834
148,4.4433784,4.6915803,4.9059834
149,18.92273,4.6915803,4.9059834
150,2.1448078,4.6915803,4.9059834
151,2.1578147,4.6915803,4.9059834
152,0.79448885,4.6915803,4.9059834
153,6.6587434,4.6915803,4.9059834
154,2.3296452,4.6915803,4.9059834
155,1.0558093,4.6915803,4.9059834
156,3.638561,4.6915803,4.9059834
157,7.5564427,4.6915803,4.9059834
158,3.1616786,4.6915803,4.9059834
