,output,target,rel_error
107,77.7052,65.0,0.19546461
5,80.090744,71.0,0.12803864
62,95.85197,102.0,0.060274836
78,115.14427,126.0,0.08615657
170,110.12149,135.0,0.18428525
53,139.87234,154.0,0.09173802
165,129.20084,155.0,0.16644622
37,142.99529,161.0,0.111830525
30,120.1493,163.0,0.26288775
67,177.30594,178.0,0.0038992206
146,153.28856,193.0,0.20575877
52,183.00171,211.0,0.13269332
111,207.58064,220.0,0.056451622
16,189.85678,220.0,0.13701463
117,236.03903,229.0,0.03073813
48,275.9229,269.0,0.025735734
63,302.57764,288.0,0.050616793
158,296.6905,311.0,0.046011284
174,337.68372,316.0,0.068619356
73,283.98138,316.0,0.10132473
157,345.48984,320.0,0.079655744
7,316.1151,330.0,0.042075418
6,349.6341,337.0,0.037489895
68,354.3717,344.0,0.030150302
116,394.5504,346.0,0.14031912
88,371.82718,346.0,0.07464503
25,364.58905,355.0,0.02701141
81,392.11035,362.0,0.08317777
42,399.1155,363.0,0.09949176
139,362.86682,363.0,0.0003668835
167,371.9217,365.0,0.01896354
100,370.2636,373.0,0.007336164
32,368.65192,379.0,0.027303651
77,386.9191,383.0,0.010232632
4,391.68347,402.0,0.025663005
33,444.27783,403.0,0.10242638
151,460.82974,445.0,0.035572454
13,495.54602,458.0,0.08197821
137,484.91528,463.0,0.047333226
140,460.82013,467.0,0.013233128
56,519.25977,473.0,0.09780078
12,503.3805,484.0,0.04004234
132,538.8883,488.0,0.10427932
134,535.81055,489.0,0.095727086
153,477.26038,490.0,0.025999233
95,503.91278,491.0,0.026298942
102,503.47375,493.0,0.02124494
57,511.74564,498.0,0.027601678
145,527.45703,499.0,0.05702812
128,523.3185,500.0,0.04663696
8,521.3615,503.0,0.036503997
122,508.571,505.0,0.007071316
142,527.5314,515.0,0.024332762
119,515.0563,519.0,0.0075987005
129,561.72266,545.0,0.030683773
83,557.3247,549.0,0.015163401
47,574.04175,566.0,0.014208036
149,551.9061,566.0,0.024900833
55,561.5566,567.0,0.009600389
148,607.03906,567.0,0.07061563
161,605.44653,572.0,0.05847296
126,590.15625,577.0,0.022801127
46,639.0243,605.0,0.0562385
168,653.1724,609.0,0.07253271
86,671.3303,614.0,0.09337186
113,687.5867,623.0,0.10367042
155,651.21204,632.0,0.030398792
14,655.8844,632.0,0.03779177
159,659.20886,635.0,0.038124193
76,648.70886,637.0,0.01838126
3,627.43945,642.0,0.022679979
154,653.8616,643.0,0.016892025
0,642.0935,644.0,0.0029603946
39,641.78625,648.0,0.009589113
17,698.70154,674.0,0.036649168
22,697.60333,679.0,0.027398134
89,692.9066,686.0,0.010067954
171,715.46594,693.0,0.03241839
179,763.02856,702.0,0.086935274
127,796.79626,727.0,0.096005864
82,770.13,741.0,0.039311748
93,775.45276,744.0,0.042275213
61,771.65137,755.0,0.022054791
103,811.7013,757.0,0.072260626
176,763.53357,767.0,0.0045194663
178,827.8753,771.0,0.07376823
51,814.01697,786.0,0.035644997
163,815.05084,794.0,0.026512396
180,821.7672,800.0,0.027209016
123,823.84906,806.0,0.022145236
80,827.94104,815.0,0.015878577
173,879.14026,856.0,0.027033012
156,876.8478,870.0,0.007871009
31,877.0541,876.0,0.0012032844
97,931.2273,896.0,0.039316177
38,936.54456,899.0,0.041762576
120,950.0866,901.0,0.054480143
131,922.70886,913.0,0.010634022
141,953.3062,918.0,0.038459927
84,983.1902,958.0,0.026294557
10,994.1234,958.0,0.037707113
144,1010.3185,960.0,0.052415084
110,1011.548,962.0,0.05150517
85,1038.5925,970.0,0.070713945
105,981.7763,971.0,0.011098153
59,959.6792,975.0,0.015713641
60,1046.5334,980.0,0.06789127
45,1007.39514,1008.0,0.00060005795
147,968.7267,1021.0,0.051198155
118,1035.9457,1024.0,0.011665702
24,1051.8158,1031.0,0.02018991
19,988.4952,1042.0,0.0513482
87,1100.8358,1073.0,0.025942046
54,1090.3286,1073.0,0.016149687
101,1055.2335,1077.0,0.020210287
64,1109.3755,1085.0,0.022465888
44,1123.0886,1088.0,0.032250572
41,1169.1945,1093.0,0.069711305
96,1108.0972,1109.0,0.0008140956
27,1106.1099,1109.0,0.0026060746
124,1108.5597,1113.0,0.003989495
109,1149.1177,1138.0,0.009769486
90,1138.7307,1140.0,0.0011134098
91,1110.5153,1141.0,0.026717564
43,1156.7747,1148.0,0.0076434305
36,1146.1573,1153.0,0.00593465
177,1184.472,1164.0,0.01758767
69,1148.8259,1167.0,0.0155733265
125,1241.3987,1207.0,0.028499322
66,1245.2737,1236.0,0.0075029787
138,1292.9609,1242.0,0.04103135
169,1260.3491,1249.0,0.009086566
175,1213.484,1257.0,0.034618925
164,1305.3186,1309.0,0.0028123732
40,1372.1322,1363.0,0.0067000748
65,1365.0891,1387.0,0.015797324
162,1449.9045,1391.0,0.042346902
34,1430.6294,1409.0,0.015350883
98,1408.9575,1421.0,0.008474652
58,1413.3586,1421.0,0.0053774505
79,1442.311,1453.0,0.0073564798
1,1538.2506,1482.0,0.037955876
71,1516.6157,1526.0,0.006149592
104,1566.4022,1526.0,0.026475899
172,1574.4075,1548.0,0.01705909
99,1598.8,1582.0,0.0106195
121,1616.4514,1593.0,0.014721542
23,1599.4507,1604.0,0.002836232
11,1614.799,1605.0,0.006105265
21,1618.5695,1613.0,0.0034528568
143,1612.877,1657.0,0.026628273
15,1816.0714,1718.0,0.05708464
135,1742.5775,1731.0,0.0066883387
49,1776.04,1735.0,0.023654202
35,1721.242,1747.0,0.014744165
2,1732.9464,1802.0,0.038320526
70,1801.0964,1816.0,0.008206809
9,1844.9817,1836.0,0.004891988
29,1884.1458,1892.0,0.004151294
115,2023.2219,1902.0,0.06373393
18,1977.5479,1903.0,0.039173856
92,1949.5698,1928.0,0.011187668
75,1987.842,1953.0,0.017840266
106,1945.6099,1965.0,0.009867754
72,1970.8279,1983.0,0.0061382344
74,2014.1426,1991.0,0.011623595
150,2049.3875,1993.0,0.028292751
136,2003.2925,2000.0,0.0016462402
50,2032.7739,2000.0,0.016386963
133,2213.6343,2102.0,0.0531086
114,2114.7612,2122.0,0.0034112958
28,2137.2495,2141.0,0.001751746
112,2252.7087,2195.0,0.026290998
152,2211.332,2196.0,0.0069817994
160,2222.0225,2234.0,0.005361477
20,2231.6487,2250.0,0.008156141
94,2422.3508,2391.0,0.013112016
166,2556.976,2452.0,0.04281243
26,2624.9888,2616.0,0.003436074
108,2816.8875,2728.0,0.03258338
130,2920.3242,2977.0,0.019037884
