,output,target,rel_error
136,139.89775,36.0,-2.8860486
52,151.80855,71.0,-1.1381485
76,152.54233,82.0,-0.8602723
6,160.33757,92.0,-0.7427997
39,163.42398,95.0,-0.72025245
107,153.32336,114.0,-0.3449418
106,187.21864,126.0,-0.48586226
47,207.28433,132.0,-0.57033587
33,207.35019,155.0,-0.33774316
112,207.0745,157.0,-0.31894583
2,227.40819,179.0,-0.2704368
81,221.94336,181.0,-0.2262064
46,241.32208,185.0,-0.3044437
170,226.26987,192.0,-0.1784889
132,229.88425,193.0,-0.19111009
73,263.0143,210.0,-0.2524491
88,245.64545,220.0,-0.11657021
84,271.1718,229.0,-0.18415639
102,249.2472,234.0,-0.06515894
159,263.79123,236.0,-0.117759444
143,288.1706,269.0,-0.071266145
164,321.48718,269.0,-0.19511963
134,282.5501,274.0,-0.03120478
66,383.8333,298.0,-0.28803125
95,338.10596,301.0,-0.12327561
54,305.8322,303.0,-0.009347242
22,296.76776,303.0,0.020568445
11,311.907,304.0,-0.026009912
131,334.45654,316.0,-0.05840678
176,368.27185,318.0,-0.15808758
68,348.03925,320.0,-0.08762264
48,335.081,326.0,-0.027855808
86,333.68082,330.0,-0.0111539895
62,288.0039,344.0,0.16277935
169,396.49893,344.0,-0.15261318
12,365.86142,353.0,-0.036434617
160,386.6231,362.0,-0.068019636
97,371.78784,365.0,-0.018596826
128,384.4168,375.0,-0.02511149
122,419.11377,420.0,0.0021100726
96,471.80176,445.0,-0.06022867
90,551.4758,466.0,-0.18342453
158,478.40674,467.0,-0.024425564
123,550.1832,473.0,-0.16317807
148,428.7445,474.0,0.095475726
118,520.8892,475.0,-0.096608885
101,501.9297,479.0,-0.04786991
99,531.989,491.0,-0.08348068
59,521.5851,494.0,-0.05584025
165,466.35208,499.0,0.06542669
45,458.37064,503.0,0.08872637
50,535.4335,515.0,-0.039676644
57,566.635,531.0,-0.06710925
63,553.71686,535.0,-0.034984782
20,551.3457,535.0,-0.030552717
49,577.49023,566.0,-0.020300768
15,615.4559,567.0,-0.08546009
177,596.3225,572.0,-0.04252187
67,595.2614,577.0,-0.031648897
141,618.5382,623.0,0.007161785
34,690.5742,661.0,-0.04474163
161,685.1148,663.0,-0.03335567
65,651.5516,679.0,0.04042478
87,717.7748,685.0,-0.047846396
98,733.6984,686.0,-0.06953123
8,676.08093,692.0,0.023004433
113,748.7866,699.0,-0.071225494
111,642.76746,699.0,0.08044713
140,822.6648,702.0,-0.17188717
142,711.3867,719.0,0.010588708
156,797.7468,721.0,-0.10644498
94,788.09875,722.0,-0.09154952
104,765.6699,729.0,-0.050301675
60,786.96216,741.0,-0.062027205
83,703.5447,746.0,0.05691062
89,788.8908,749.0,-0.053258754
163,763.1377,755.0,-0.010778405
175,768.468,757.0,-0.015149296
23,754.7011,761.0,0.008277121
75,727.3184,763.0,0.046764847
91,864.72595,775.0,-0.11577542
14,817.72174,786.0,-0.04035845
129,821.42773,795.0,-0.033242434
108,821.89404,800.0,-0.027367555
173,826.29047,811.0,-0.018853843
115,864.5158,814.0,-0.062058732
85,896.9979,826.0,-0.085953906
72,842.7478,827.0,-0.019042084
116,882.0953,842.0,-0.047619093
152,922.76636,851.0,-0.084331796
25,908.9812,876.0,-0.037649773
26,956.95807,880.0,-0.08745235
145,898.9141,882.0,-0.01917701
27,957.2197,886.0,-0.080383435
78,910.2362,899.0,-0.01249856
16,911.47595,911.0,-0.0005224502
43,944.1947,913.0,-0.034167252
124,1036.5642,913.0,-0.13533868
21,940.7888,928.0,-0.013781054
4,1053.9271,936.0,-0.12599051
114,990.8465,975.0,-0.016252818
61,1053.8444,989.0,-0.06556558
135,1037.6143,993.0,-0.04492876
37,1121.073,1010.0,-0.10997327
121,1164.7948,1026.0,-0.13527758
70,1045.6857,1027.0,-0.01819442
31,1057.752,1037.0,-0.020011527
44,1077.7561,1054.0,-0.022538997
179,1180.2598,1056.0,-0.11767023
166,1127.369,1069.0,-0.054601513
110,1179.0656,1109.0,-0.06317904
79,1133.6895,1115.0,-0.016761841
80,1210.196,1129.0,-0.071918555
36,1212.9336,1136.0,-0.06772324
9,1220.1757,1140.0,-0.070329525
5,1210.4382,1148.0,-0.054388706
56,1248.4661,1164.0,-0.07256535
28,1203.2592,1167.0,-0.031070398
41,1312.971,1172.0,-0.12028238
125,1221.7041,1192.0,-0.024919549
168,1351.0045,1236.0,-0.09304573
117,1351.9103,1249.0,-0.08239414
71,1353.1111,1255.0,-0.07817616
154,1379.2098,1307.0,-0.055248536
109,1270.7705,1309.0,0.029205112
30,1436.0841,1359.0,-0.056721196
18,1543.5183,1369.0,-0.12747867
38,1468.3503,1382.0,-0.062482156
51,1545.0569,1402.0,-0.10203772
130,1536.0696,1409.0,-0.09018423
167,1449.7703,1416.0,-0.023849057
126,1500.1532,1420.0,-0.056445915
171,1479.7219,1423.0,-0.039860804
24,1668.0432,1516.0,-0.100292355
151,1653.8563,1532.0,-0.07954068
139,1635.1526,1562.0,-0.046832643
3,1768.9458,1613.0,-0.0966806
1,1750.2833,1619.0,-0.08108915
146,1531.1765,1646.0,0.06975911
35,1835.1304,1654.0,-0.1095105
137,1808.3784,1662.0,-0.088073656
29,1722.4973,1672.0,-0.030201742
147,1836.1592,1687.0,-0.08841682
103,1767.5857,1687.0,-0.047768638
162,1880.1573,1705.0,-0.102731586
119,1873.8289,1718.0,-0.090703644
17,1687.0977,1730.0,0.024799043
120,1990.4525,1769.0,-0.12518515
0,1941.8999,1793.0,-0.08304512
157,2023.8889,1826.0,-0.1083729
40,1708.233,1857.0,0.08011145
10,1968.5022,1857.0,-0.060044263
19,2060.7812,1874.0,-0.09966982
138,2021.1586,1878.0,-0.07622927
150,2028.7263,1903.0,-0.06606743
77,2021.0449,1912.0,-0.057031862
153,2033.0568,1944.0,-0.04581109
42,2183.8765,1957.0,-0.11593074
92,2130.4192,1957.0,-0.088614814
