,0,1,2,3,4,5,6,7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
8,3.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0
9,18.0,27.0,22.0,26.0,30.0,25.0,28.0,28.0
10,96.0,122.0,100.0,98.0,111.0,95.0,105.0,90.0
11,224.0,210.0,208.0,206.0,223.0,206.0,214.0,227.0
12,345.0,377.0,383.0,386.0,379.0,393.0,372.0,407.0
13,587.0,584.0,685.0,602.0,633.0,632.0,651.0,615.0
14,870.0,828.0,915.0,836.0,873.0,869.0,875.0,920.0
15,1194.0,1158.0,1225.0,1169.0,1226.0,1224.0,1287.0,1220.0
16,1483.0,1530.0,1567.0,1502.0,1531.0,1518.0,1625.0,1567.0
17,1735.0,1862.0,1867.0,1793.0,1933.0,1946.0,1916.0,1985.0
18,2172.0,2258.0,2313.0,2257.0,2336.0,2365.0,2420.0,2324.0
19,2509.0,2673.0,2692.0,2767.0,2641.0,2769.0,2800.0,2665.0
20,2757.0,2860.0,3151.0,2987.0,2923.0,3116.0,3163.0,3017.0
21,3122.0,3268.0,3506.0,3353.0,3453.0,3538.0,3467.0,3408.0
22,3587.0,3709.0,3898.0,3826.0,3805.0,3774.0,3929.0,3810.0
23,3762.0,3967.0,4209.0,4123.0,4079.0,4258.0,4299.0,4211.0
24,4032.0,4273.0,4383.0,4228.0,4335.0,4539.0,4616.0,4347.0
25,4375.0,4568.0,4944.0,4804.0,4672.0,4839.0,4959.0,4774.0
