,output,target,rel_error
69,64.39392,65.0,0.009324294
121,76.33531,71.0,-0.07514524
120,99.82557,104.0,0.04013876
81,85.65035,114.0,0.24868111
136,103.44696,114.0,0.09257052
114,122.93649,138.0,0.10915585
8,158.71907,144.0,-0.10221577
36,150.37585,163.0,0.07744875
132,155.61488,169.0,0.07920187
20,193.25949,202.0,0.043269847
73,215.05338,210.0,-0.024063691
92,206.58229,220.0,0.06098959
134,241.58574,252.0,0.041326433
99,262.91714,294.0,0.105724
107,292.75314,301.0,0.027398195
0,289.55902,303.0,0.044359665
5,318.17902,326.0,0.023990748
174,295.7562,329.0,0.101045
94,342.321,337.0,-0.01578936
54,280.80078,344.0,0.18371867
56,354.5514,344.0,-0.03067265
22,319.6991,344.0,0.07064216
155,348.95923,355.0,0.017016258
23,349.66537,360.0,0.028707292
133,353.252,367.0,0.03746045
29,365.37933,379.0,0.035938434
142,358.76242,383.0,0.063283496
76,347.08368,419.0,0.171638
85,442.06085,441.0,-0.00240556
150,441.04086,445.0,0.008896937
46,448.01086,446.0,-0.0045086644
156,438.74634,451.0,0.027169982
61,453.067,457.0,0.008606157
152,400.74307,461.0,0.13070917
169,467.94135,463.0,-0.010672452
70,449.4371,465.0,0.033468597
84,487.73712,473.0,-0.031156706
55,490.62872,488.0,-0.005386728
131,459.71667,490.0,0.061802704
17,488.20248,491.0,0.0056975884
37,465.69897,499.0,0.06673552
159,500.21524,500.0,-0.00043048096
123,463.86032,505.0,0.08146471
101,483.9252,505.0,0.041732274
172,521.95325,507.0,-0.029493583
34,494.35776,513.0,0.036339656
59,515.2092,513.0,-0.004306488
35,497.67523,519.0,0.041088186
14,508.72748,531.0,0.041944485
116,528.933,535.0,0.011340218
115,482.4476,548.0,0.119621165
75,551.5399,550.0,-0.002799849
91,511.7019,553.0,0.0746801
98,587.77014,569.0,-0.032987945
143,569.1817,572.0,0.004927095
48,643.5602,614.0,-0.048143618
128,569.9743,620.0,0.08068661
26,618.42737,638.0,0.030678106
