,output,target,rel_error
174,16.03165,1.0,-15.031651
142,16.037289,1.0,-15.037289
154,16.038483,1.0,-15.038483
50,16.037577,1.0,-15.037577
51,16.04147,1.0,-15.04147
110,16.03564,1.0,-15.035641
56,16.039455,1.0,-15.039455
58,16.03709,1.0,-15.03709
27,16.045887,1.0,-15.045887
60,16.04805,1.0,-15.04805
63,16.043911,1.0,-15.043911
133,16.036451,1.0,-15.036451
70,16.043295,1.0,-15.043295
159,16.040022,1.0,-15.040022
152,16.032692,1.0,-15.032692
126,16.043243,1.0,-15.043243
129,16.03748,1.0,-15.037479
148,16.040087,1.0,-15.040087
106,16.043556,1.0,-15.043556
14,16.047377,1.0,-15.047377
89,16.038239,1.0,-15.038239
3,16.042757,1.0,-15.042757
90,16.032616,1.0,-15.032616
4,16.038532,1.0,-15.038532
91,16.044655,1.0,-15.044655
168,16.043722,1.0,-15.043722
5,16.037632,1.0,-15.037632
100,16.04162,2.0,-7.02081
141,16.047562,2.0,-7.023781
139,16.03799,2.0,-7.0189953
78,16.043545,2.0,-7.0217724
122,16.039106,2.0,-7.019553
61,16.042225,2.0,-7.0211124
66,16.040852,2.0,-7.020426
121,16.041107,2.0,-7.0205536
173,16.044144,2.0,-7.022072
85,16.050905,2.0,-7.0254526
95,16.040968,2.0,-7.020484
92,16.042534,2.0,-7.021267
109,16.048088,2.0,-7.024044
33,16.033161,2.0,-7.0165806
16,16.03962,2.0,-7.0198097
161,16.039783,2.0,-7.0198917
30,16.039066,2.0,-7.019533
18,16.035988,2.0,-7.017994
25,16.044893,2.0,-7.0224466
1,16.04235,2.0,-7.0211754
150,16.035816,2.0,-7.017908
172,16.04253,3.0,-4.34751
118,16.044174,3.0,-4.348058
6,16.045538,3.0,-4.3485126
119,16.0344,3.0,-4.3448005
128,16.036255,3.0,-4.3454185
158,16.04582,3.0,-4.3486066
134,16.039701,3.0,-4.346567
43,16.04952,3.0,-4.34984
82,16.027214,3.0,-4.342405
64,16.047745,3.0,-4.3492484
137,16.039982,3.0,-4.3466606
71,16.04295,3.0,-4.34765
39,16.033785,4.0,-3.0084462
132,16.038082,4.0,-3.0095205
54,16.044859,4.0,-3.0112147
81,16.038689,4.0,-3.0096722
28,16.044313,4.0,-3.0110784
166,16.039688,4.0,-3.009922
116,16.04824,4.0,-3.0120602
105,16.035936,4.0,-3.008984
15,16.043383,4.0,-3.0108457
