,output,target,rel_error
22,1.0007243,71.0,0.9859053
80,1.0007243,80.0,0.98749095
86,1.0007243,87.0,0.98849744
62,1.0007243,91.0,0.989003
127,1.0007243,92.0,0.98912257
40,1.0007243,104.0,0.99037766
122,1.0007243,143.0,0.993002
104,1.0007243,154.0,0.99350184
34,1.0007243,155.0,0.99354374
167,1.0007243,156.0,0.99358517
129,1.0007243,163.0,0.9938606
82,1.0007243,178.0,0.994378
151,1.0007243,192.0,0.99478793
57,1.0007243,202.0,0.99504596
3,1.0007243,205.0,0.99511844
156,1.0007243,215.0,0.9953455
175,1.0007243,221.0,0.9954719
60,1.0007243,231.0,0.9956679
177,1.0007243,236.0,0.99575967
13,1.0007243,255.0,0.99607563
121,1.0007243,274.0,0.99634767
112,1.0007243,289.0,0.99653727
16,1.0007243,297.0,0.99663055
161,1.0007243,298.0,0.9966418
35,1.0007243,301.0,0.9966753
30,1.0007243,301.0,0.9966753
12,1.0007243,304.0,0.9967081
128,1.0007243,316.0,0.99683315
102,1.0007243,318.0,0.99685305
71,1.0007243,329.0,0.99695826
124,1.0007243,342.0,0.9970739
144,1.0007243,344.0,0.9970909
75,1.0007243,344.0,0.9970909
23,1.0007243,346.0,0.9971077
24,1.0007243,346.0,0.9971077
115,1.0007243,352.0,0.99715704
99,1.0007243,363.0,0.99724317
7,1.0007243,363.0,0.99724317
56,1.0007243,365.0,0.99725825
25,1.0007243,369.0,0.997288
85,1.0007243,371.0,0.9973026
96,1.0007243,381.0,0.9973734
61,1.0007243,403.0,0.9975168
51,1.0007243,445.0,0.9977512
65,1.0007243,451.0,0.9977811
118,1.0007243,457.0,0.9978102
15,1.0007243,465.0,0.9978479
147,1.0007243,473.0,0.9978843
19,1.0007243,479.0,0.9979108
67,1.0007243,489.0,0.99795353
139,1.0007243,491.0,0.9979618
58,1.0007243,491.0,0.9979618
47,1.0007243,493.0,0.9979701
41,1.0007243,505.0,0.9980183
73,1.0007243,519.0,0.9980718
162,1.0007243,531.0,0.99811536
160,1.0007243,535.0,0.9981295
98,1.0007243,536.0,0.99813294
101,1.0007243,545.0,0.9981638
21,1.0007243,547.0,0.9981705
87,1.0007243,548.0,0.99817383
27,1.0007243,549.0,0.9981772
94,1.0007243,553.0,0.99819034
173,1.0007243,578.0,0.9982686
158,1.0007243,582.0,0.9982805
92,1.0007243,593.0,0.9983124
72,1.0007243,603.0,0.9983404
79,1.0007243,605.0,0.9983459
44,1.0007243,610.0,0.99835944
140,1.0007243,615.0,0.9983728
81,1.0007243,630.0,0.99841154
114,1.0007243,635.0,0.99842405
38,1.0007243,637.0,0.998429
109,1.0007243,642.0,0.9984412
165,1.0007243,659.0,0.99848145
36,1.0007243,660.0,0.9984837
74,1.0007243,660.0,0.9984837
8,1.0007243,666.0,0.9984974
159,1.0007243,669.0,0.99850416
11,1.0007243,671.0,0.9985086
78,1.0007243,679.0,0.99852616
105,1.0007243,689.0,0.99854755
113,1.0007243,693.0,0.99855596
28,1.0007243,695.0,0.9985601
145,1.0007243,698.0,0.99856627
77,1.0007243,702.0,0.99857444
89,1.0007243,713.0,0.99859643
6,1.0007243,713.0,0.99859643
111,1.0007243,746.0,0.99865854
4,1.0007243,755.0,0.9986745
52,1.0007243,757.0,0.998678
46,1.0007243,758.0,0.99867976
108,1.0007243,758.0,0.99867976
143,1.0007243,763.0,0.9986884
91,1.0007243,766.0,0.9986936
48,1.0007243,768.0,0.998697
155,1.0007243,783.0,0.9987219
31,1.0007243,786.0,0.9987268
76,1.0007243,791.0,0.99873483
130,1.0007243,821.0,0.9987811
106,1.0007243,840.0,0.9988086
20,1.0007243,840.0,0.9988086
120,1.0007243,864.0,0.99884176
153,1.0007243,870.0,0.99884975
146,1.0007243,885.0,0.99886924
93,1.0007243,886.0,0.9988705
0,1.0007243,900.0,0.9988881
45,1.0007243,910.0,0.9989003
125,1.0007243,912.0,0.9989027
39,1.0007243,913.0,0.99890393
64,1.0007243,921.0,0.9989134
166,1.0007243,936.0,0.9989308
117,1.0007243,970.0,0.9989683
43,1.0007243,989.0,0.99898815
54,1.0007243,990.0,0.99898916
26,1.0007243,994.0,0.9989932
18,1.0007243,1005.0,0.99900424
116,1.0007243,1009.0,0.9990082
169,1.0007243,1015.0,0.9990141
178,1.0007243,1032.0,0.9990303
134,1.0007243,1054.0,0.99905056
110,1.0007243,1056.0,0.99905235
59,1.0007243,1057.0,0.99905324
50,1.0007243,1072.0,0.9990665
5,1.0007243,1073.0,0.99906737
132,1.0007243,1077.0,0.9990708
126,1.0007243,1084.0,0.99907684
168,1.0007243,1108.0,0.9990968
174,1.0007243,1113.0,0.99910086
14,1.0007243,1115.0,0.9991025
131,1.0007243,1121.0,0.9991073
69,1.0007243,1141.0,0.9991229
152,1.0007243,1148.0,0.9991283
53,1.0007243,1160.0,0.9991373
55,1.0007243,1167.0,0.99914247
149,1.0007243,1192.0,0.99916047
2,1.0007243,1233.0,0.99918836
63,1.0007243,1267.0,0.9992102
49,1.0007243,1300.0,0.9992302
137,1.0007243,1309.0,0.9992355
157,1.0007243,1315.0,0.99923897
42,1.0007243,1349.0,0.99925816
66,1.0007243,1387.0,0.9992785
119,1.0007243,1402.0,0.99928623
32,1.0007243,1403.0,0.9992867
9,1.0007243,1409.0,0.99928975
95,1.0007243,1428.0,0.9992992
10,1.0007243,1436.0,0.9993031
164,1.0007243,1453.0,0.99931127
1,1.0007243,1496.0,0.99933106
123,1.0007243,1516.0,0.9993399
17,1.0007243,1526.0,0.9993442
150,1.0007243,1554.0,0.99935603
133,1.0007243,1562.0,0.9993593
163,1.0007243,1564.0,0.99936014
70,1.0007243,1567.0,0.9993614
88,1.0007243,1570.0,0.9993626
141,1.0007243,1675.0,0.9994025
83,1.0007243,1694.0,0.99940926
84,1.0007243,1695.0,0.9994096
172,1.0007243,1735.0,0.9994232
135,1.0007243,1741.0,0.9994252
29,1.0007243,1776.0,0.9994365
171,1.0007243,1802.0,0.99944466
107,1.0007243,1826.0,0.99945194
33,1.0007243,1836.0,0.9994549
136,1.0007243,1985.0,0.99949586
148,1.0007243,1993.0,0.9994979
68,1.0007243,2051.0,0.9995121
97,1.0007243,2088.0,0.9995207
154,1.0007243,2109.0,0.9995255
138,1.0007243,2160.0,0.9995367
179,1.0007243,2164.0,0.9995375
90,1.0007243,2215.0,0.9995482
170,0.9985374,2381.0,0.9995806
37,1.0007243,2452.0,0.9995919
100,1.0007243,2505.0,0.9996005
176,1.0345159,2560.0,0.99959594
142,1.0007243,2799.0,0.9996425
103,0.98143244,3046.0,0.9996778
