,output,target,rel_error
184,194.57141,1.0,-193.57141
278,195.1776,1.0,-194.1776
112,194.87926,1.0,-193.87926
108,194.5373,1.0,-193.5373
35,194.48552,1.0,-193.48552
36,194.60777,1.0,-193.60777
208,194.08377,1.0,-193.08377
245,194.87335,1.0,-193.87335
96,194.2107,1.0,-193.2107
120,194.56273,1.0,-193.56273
353,194.10501,1.0,-193.10501
270,194.27612,1.0,-193.27612
336,194.75964,1.0,-193.75964
337,194.87415,1.0,-193.87415
76,194.6579,1.0,-193.6579
281,194.98544,1.0,-193.98544
234,194.83961,1.0,-193.83961
68,194.87714,1.0,-193.87714
58,194.52579,1.0,-193.52579
45,194.33453,1.0,-193.33453
125,194.46613,1.0,-193.46613
30,194.38428,1.0,-193.38428
11,194.77463,1.0,-193.77463
1,194.44736,1.0,-193.44736
170,194.81892,1.0,-193.81892
4,194.83864,1.0,-193.83864
6,194.63464,1.0,-193.63464
153,194.43471,1.0,-193.43471
364,194.34401,1.0,-193.34401
10,194.45909,1.0,-193.45909
190,194.4419,1.0,-193.4419
12,194.3793,1.0,-193.3793
151,194.93636,1.0,-193.93636
315,194.26025,1.0,-193.26025
146,194.66116,1.0,-193.66116
64,194.89484,1.0,-193.89484
255,194.48018,1.0,-193.48018
359,194.63336,1.0,-193.63336
142,194.14026,1.0,-193.14026
66,195.09308,2.0,-96.54654
139,194.62476,2.0,-96.31238
133,194.6804,2.0,-96.3402
308,194.90898,2.0,-96.45449
198,194.48518,2.0,-96.24259
228,195.19293,2.0,-96.596466
183,194.64214,2.0,-96.32107
225,195.47346,2.0,-96.73673
154,195.04712,2.0,-96.52356
187,194.85683,2.0,-96.42841
174,195.82144,2.0,-96.91072
90,194.73914,2.0,-96.36957
93,194.89798,2.0,-96.44899
119,194.90862,2.0,-96.45431
325,195.15501,2.0,-96.57751
211,194.39069,2.0,-96.19534
210,194.50256,2.0,-96.25128
316,195.16055,2.0,-96.58028
209,195.44937,2.0,-96.724686
111,195.39337,2.0,-96.696686
207,195.06024,2.0,-96.53012
328,194.65858,2.0,-96.32929
193,194.75125,2.0,-96.375626
173,194.95525,2.0,-96.47762
13,195.06686,2.0,-96.53343
62,195.08585,2.0,-96.54292
28,194.97113,2.0,-96.485565
249,195.38834,2.0,-96.69417
22,195.11014,2.0,-96.55507
14,195.35414,2.0,-96.67707
33,194.97556,2.0,-96.48778
37,195.68103,2.0,-96.840515
57,194.90163,2.0,-96.45081
39,194.86165,2.0,-96.430824
25,194.86438,2.0,-96.43219
269,195.6324,3.0,-64.2108
98,196.13544,3.0,-64.37848
204,195.16391,3.0,-64.054634
8,195.23018,3.0,-64.07673
265,194.9851,3.0,-63.995037
357,195.31558,3.0,-64.105194
186,195.68542,3.0,-64.22848
101,195.36316,3.0,-64.121056
324,195.20065,3.0,-64.06689
129,195.21423,3.0,-64.07141
219,194.97717,3.0,-63.99239
3,195.53247,3.0,-64.17749
200,195.37561,3.0,-64.125206
169,194.95316,3.0,-63.984386
231,195.75677,3.0,-64.25226
168,195.816,3.0,-64.271996
346,195.31532,3.0,-64.10511
221,195.48373,3.0,-64.16125
123,195.03642,3.0,-64.01214
72,194.92897,3.0,-63.976322
226,195.55429,3.0,-64.18476
180,195.24237,3.0,-64.08079
122,195.398,3.0,-64.13267
145,195.11261,3.0,-64.03754
356,196.3225,4.0,-48.080624
321,196.05579,4.0,-48.013947
247,194.9371,4.0,-47.734276
250,196.62936,4.0,-48.15734
26,196.35538,4.0,-48.088844
114,195.27512,4.0,-47.81878
218,195.4143,4.0,-47.853577
51,195.87433,4.0,-47.968582
61,196.24869,4.0,-48.062172
342,196.25803,4.0,-48.064507
305,196.06146,4.0,-48.015366
178,196.45389,4.0,-48.113472
276,195.39754,4.0,-47.849384
160,195.5488,4.0,-47.8872
309,195.90015,4.0,-47.975037
147,196.25539,4.0,-48.063847
84,195.10854,4.0,-47.777134
149,196.15776,4.0,-48.03944
352,195.56555,4.0,-47.891388
260,195.07877,4.0,-47.76969
155,195.77673,4.0,-47.944183
47,195.62808,4.0,-47.90702
367,195.4758,4.0,-47.86895
244,196.7738,4.0,-48.19345
97,195.66245,4.0,-47.91561
157,196.0835,4.0,-48.020874
197,195.8131,5.0,-38.16262
20,195.51978,5.0,-38.103954
268,196.5824,5.0,-38.31648
171,196.23102,5.0,-38.246204
132,196.565,5.0,-38.313
267,195.72272,5.0,-38.144543
295,196.59921,5.0,-38.319843
128,195.86687,5.0,-38.173374
240,195.73708,5.0,-38.147415
354,196.28374,5.0,-38.25675
330,197.22272,5.0,-38.444542
38,196.33292,5.0,-38.266582
340,195.90076,5.0,-38.180153
286,196.27075,5.0,-38.25415
91,196.70203,5.0,-38.340405
113,196.65723,5.0,-38.331444
332,196.41417,5.0,-38.282833
227,196.26147,5.0,-38.252296
59,197.0178,5.0,-38.40356
248,196.24475,5.0,-38.24895
296,196.4627,5.0,-38.29254
65,196.1542,5.0,-38.230843
176,195.95993,6.0,-31.659988
237,196.60583,6.0,-31.76764
55,196.80676,6.0,-31.801126
79,196.90872,6.0,-31.818121
261,196.10066,6.0,-31.683443
182,196.20543,6.0,-31.700905
217,197.29953,6.0,-31.883255
164,196.76065,6.0,-31.793442
74,197.76274,6.0,-31.960457
287,196.40923,6.0,-31.73487
293,196.67422,6.0,-31.779037
127,197.03087,6.0,-31.838478
317,197.2598,6.0,-31.876633
137,196.18271,6.0,-31.697119
299,196.83902,6.0,-31.806503
23,197.48743,6.0,-31.914572
327,197.2782,6.0,-31.8797
345,196.85033,6.0,-31.808388
329,196.98956,6.0,-31.831594
103,196.27347,6.0,-31.712244
15,197.016,6.0,-31.836
46,196.98361,6.0,-31.830603
107,196.39297,6.0,-31.732162
216,197.04593,7.0,-27.149418
177,197.40137,7.0,-27.200195
195,196.43143,7.0,-27.061632
243,196.84505,7.0,-27.120722
297,197.89284,7.0,-27.270405
131,197.36526,7.0,-27.195038
56,196.29367,7.0,-27.041952
322,197.18193,7.0,-27.168848
136,197.04593,7.0,-27.149418
77,196.58684,7.0,-27.083834
73,197.07233,7.0,-27.153189
349,196.8353,7.0,-27.119328
42,196.95592,7.0,-27.13656
355,197.74252,7.0,-27.248932
331,197.28523,7.0,-27.183605
31,197.13998,7.0,-27.162855
311,196.92351,7.0,-27.13193
92,198.77876,8.0,-23.847345
323,197.70612,8.0,-23.713264
87,197.06577,8.0,-23.63322
262,197.44135,8.0,-23.680168
251,196.7719,8.0,-23.596487
21,198.1228,8.0,-23.76535
253,197.47572,8.0,-23.684465
67,197.15523,8.0,-23.644403
95,196.78835,8.0,-23.598543
143,198.33183,8.0,-23.79148
148,197.67273,8.0,-23.709091
27,196.68842,8.0,-23.586052
71,196.54121,8.0,-23.567652
24,198.67401,9.0,-21.07489
220,198.98679,9.0,-21.109642
335,197.29164,9.0,-20.921293
242,198.59747,9.0,-21.066385
215,198.02112,9.0,-21.002346
214,198.4798,9.0,-21.05331
266,198.62607,9.0,-21.069563
83,198.83331,9.0,-21.09259
264,198.92912,9.0,-21.103235
163,198.36885,9.0,-21.040983
140,197.64217,9.0,-20.960241
307,197.64676,9.0,-20.96075
109,198.86015,9.0,-21.095573
126,197.31644,9.0,-20.92405
135,198.01978,9.0,-21.002197
60,198.56104,10.0,-18.856104
17,198.72482,10.0,-18.872482
223,199.17737,10.0,-18.917736
362,199.01172,10.0,-18.901173
104,198.603,10.0,-18.8603
102,198.66013,10.0,-18.866013
320,197.13506,10.0,-18.713505
89,197.75346,10.0,-18.775347
275,199.49829,10.0,-18.94983
213,198.77191,10.0,-18.877192
344,199.70256,10.0,-18.970257
141,199.49887,11.0,-17.136261
239,197.8956,11.0,-16.990509
189,198.3575,11.0,-17.0325
351,196.91678,11.0,-16.901525
179,198.23921,11.0,-17.021746
158,199.14308,11.0,-17.103916
138,199.69553,11.0,-17.154139
341,198.44064,11.0,-17.040058
78,199.14134,11.0,-17.103758
121,199.57458,11.0,-17.143145
205,198.84534,11.0,-17.076849
366,197.68468,11.0,-16.971334
304,199.8334,11.0,-17.166674
314,197.94467,11.0,-16.99497
34,200.27374,12.0,-15.689479
167,198.21552,12.0,-15.51796
181,200.2002,12.0,-15.68335
7,200.10135,12.0,-15.675113
259,199.18294,12.0,-15.598578
235,199.43883,12.0,-15.619903
43,199.54153,12.0,-15.628461
94,199.42941,12.0,-15.619118
172,200.0693,12.0,-15.672442
277,199.86203,12.0,-15.6551695
339,198.63863,12.0,-15.553219
256,198.86996,13.0,-14.297689
301,199.44882,13.0,-14.342217
224,200.23222,13.0,-14.402479
191,199.97168,13.0,-14.382437
348,199.97665,13.0,-14.382819
280,201.36485,14.0,-13.3832035
185,200.54727,14.0,-13.324805
365,200.84918,14.0,-13.34637
19,200.14023,14.0,-13.295731
175,199.9386,14.0,-13.281328
347,201.45586,15.0,-12.43039
298,200.93695,15.0,-12.395797
303,201.37604,15.0,-12.425069
288,199.31845,15.0,-12.287897
0,201.10333,15.0,-12.406889
368,202.2889,15.0,-12.485927
152,200.53383,15.0,-12.368922
69,199.8625,15.0,-12.324167
86,200.6781,15.0,-12.37854
162,201.94427,16.0,-11.621517
313,201.43533,16.0,-11.589708
252,200.94101,16.0,-11.558813
124,201.05055,16.0,-11.5656595
274,202.31583,16.0,-11.644739
85,200.32568,16.0,-11.520355
110,201.27606,17.0,-10.839768
99,201.61786,17.0,-10.859874
229,203.086,17.0,-10.946236
233,202.09888,17.0,-10.888169
75,201.75818,17.0,-10.868128
70,200.86264,17.0,-10.81545
272,202.0636,17.0,-10.886094
241,202.40143,17.0,-10.905967
363,200.82706,17.0,-10.813356
232,201.17494,17.0,-10.83382
334,201.39088,18.0,-10.188382
257,202.42995,18.0,-10.246108
290,201.14397,18.0,-10.1746645
192,202.59674,19.0,-9.662987
360,203.30298,19.0,-9.700157
144,201.43231,19.0,-9.601701
246,202.96515,19.0,-9.682376
41,204.35486,20.0,-9.217743
116,204.14838,20.0,-9.207418
306,202.775,20.0,-9.13875
206,204.3226,20.0,-9.21613
285,203.69951,20.0,-9.184976
18,204.74777,21.0,-8.749894
44,204.06068,21.0,-8.7171755
271,205.63016,22.0,-8.346826
358,204.1644,22.0,-8.2802
16,204.7024,23.0,-7.900104
159,203.71518,23.0,-7.8571815
161,206.0458,23.0,-7.9585133
165,205.85703,23.0,-7.9503055
319,205.8414,23.0,-7.949626
300,204.21666,23.0,-7.8789854
202,203.88719,23.0,-7.8646607
