,output,target,rel_error
35,265.00858,36.0,-6.361349
41,269.28485,78.0,-2.45237
10,267.71985,82.0,-2.2648761
27,271.24078,102.0,-1.6592233
46,268.76715,114.0,-1.3576065
40,274.08997,126.0,-1.1753172
15,274.47574,138.0,-0.9889546
17,276.43268,156.0,-0.77200437
38,277.07056,162.0,-0.71031207
29,283.18573,176.0,-0.6090098
34,277.88556,177.0,-0.5699749
44,283.48846,193.0,-0.46885213
1,280.75464,194.0,-0.44718885
14,287.82898,210.0,-0.3706142
39,290.1148,219.0,-0.32472515
45,285.32947,226.0,-0.26251978
24,291.39865,231.0,-0.26146603
42,294.5097,247.0,-0.19234698
7,289.18936,255.0,-0.13407592
12,288.38312,255.0,-0.13091418
23,290.07184,266.0,-0.09049563
9,289.6993,279.0,-0.038348783
37,303.38763,298.0,-0.018079309
11,294.5148,307.0,0.040668402
18,297.6577,326.0,0.08693953
28,296.27264,328.0,0.09672974
32,293.581,329.0,0.10765655
0,303.1612,338.0,0.10307339
4,301.10437,344.0,0.1246966
16,311.84482,357.0,0.12648511
26,306.64526,362.0,0.15291363
20,303.1234,369.0,0.17852734
22,303.3288,375.0,0.1911232
8,298.35098,381.0,0.21692656
13,313.72452,432.0,0.27378583
33,313.32568,433.0,0.27638412
36,317.37988,435.0,0.27039108
2,319.96017,437.0,0.2678257
30,310.6479,439.0,0.29237384
25,308.6172,453.0,0.31872585
31,323.81232,458.0,0.2929862
6,323.98468,486.0,0.33336484
21,319.1788,487.0,0.34460205
3,320.25037,493.0,0.35040495
19,319.0452,494.0,0.35415953
43,320.18643,498.0,0.35705537
5,311.5219,499.0,0.3757076
