,output,target,rel_error
45,1080.6218,1005.0,-0.0752456
48,1082.8695,1014.0,-0.06791864
54,1128.4031,1019.0,-0.10736318
73,1292.7812,1026.0,-0.2600207
9,1226.733,1028.0,-0.19332007
68,1071.4978,1031.0,-0.03928012
65,1176.8411,1040.0,-0.13157795
16,1152.4286,1048.0,-0.0996456
22,1153.8024,1069.0,-0.079328686
34,1091.006,1069.0,-0.020585576
19,1258.5562,1110.0,-0.13383438
47,1152.5485,1115.0,-0.03367575
33,1262.4429,1129.0,-0.11819563
17,1238.8188,1129.0,-0.0972709
41,1222.0557,1132.0,-0.079554476
60,1164.4067,1136.0,-0.025005931
64,1140.7725,1141.0,0.00019942074
42,1307.9082,1148.0,-0.13929287
50,1249.357,1149.0,-0.087342955
13,1246.2783,1153.0,-0.080900535
72,1300.6782,1160.0,-0.12127433
1,1305.4277,1164.0,-0.12150149
36,1292.6353,1192.0,-0.084425546
26,1324.9031,1202.0,-0.10224882
8,1239.9918,1233.0,-0.005670577
52,1399.3793,1236.0,-0.13218388
23,1439.5828,1243.0,-0.15815187
20,1423.711,1292.0,-0.101943545
55,1492.2793,1298.0,-0.14967589
46,1467.3629,1300.0,-0.1287407
12,1541.8303,1380.0,-0.117268346
56,1466.9634,1436.0,-0.021562241
37,1536.9501,1473.0,-0.04341485
66,1646.2334,1474.0,-0.11684763
70,1575.3075,1475.0,-0.068005085
38,1492.8589,1489.0,-0.0025915962
10,1585.7688,1504.0,-0.054367553
74,1612.9159,1526.0,-0.05695668
28,1595.6202,1542.0,-0.03477318
43,1611.548,1562.0,-0.031720854
24,1557.9912,1564.0,0.0038419368
3,1559.8789,1593.0,0.020791648
49,1659.3677,1597.0,-0.039053023
44,1552.7218,1607.0,0.033776104
6,1671.0702,1631.0,-0.024567867
11,1705.4044,1631.0,-0.045618895
61,1713.6948,1642.0,-0.043663107
57,1632.0696,1672.0,0.02388183
14,1715.6288,1687.0,-0.016970234
5,1850.7097,1700.0,-0.088652775
62,1809.375,1705.0,-0.06121701
39,1770.7349,1747.0,-0.013586069
15,1759.3978,1747.0,-0.0070966384
21,1769.0638,1752.0,-0.009739636
27,1807.2227,1788.0,-0.010750926
40,1857.2437,1793.0,-0.03583026
18,1761.3291,1816.0,0.03010512
67,1871.984,1826.0,-0.025182918
7,1935.1426,1863.0,-0.038723875
0,2048.185,1958.0,-0.046059784
4,1995.0537,1965.0,-0.015294509
71,1852.4487,1985.0,0.06677646
29,1913.8254,2051.0,0.0668818
2,2101.066,2108.0,0.0032894127
58,2158.0972,2122.0,-0.017010918
51,2136.2039,2141.0,0.0022401414
30,2310.4812,2216.0,-0.04263592
35,2347.7231,2305.0,-0.018534986
31,2163.27,2329.0,0.07115929
69,2291.8555,2364.0,0.030517992
63,2575.5703,2616.0,0.015454774
59,2729.3052,2781.0,0.018588575
32,2840.3804,2799.0,-0.014783984
53,2790.8647,2900.0,0.037632845
25,3046.7183,3440.0,0.11432609
