,output,target,rel_error
79,259.5166,10.0,-24.95166
91,275.59778,36.0,-6.6554937
51,290.33694,78.0,-2.7222686
55,281.49225,87.0,-2.235543
32,293.57532,102.0,-1.8781894
86,283.81897,116.0,-1.4467152
84,318.17566,155.0,-1.0527462
93,318.1755,162.0,-0.96404636
50,356.72903,164.0,-1.1751771
3,324.52136,169.0,-0.92024475
40,317.13864,177.0,-0.79174376
62,360.50647,185.0,-0.9486836
103,357.5995,205.0,-0.74438775
24,377.24652,210.0,-0.796412
99,340.04727,220.0,-0.54566944
22,369.35925,255.0,-0.44846767
87,372.81183,274.0,-0.3606271
54,391.15872,307.0,-0.27413264
45,391.09277,311.0,-0.25753304
27,355.92514,316.0,-0.12634538
23,417.5715,319.0,-0.30900156
64,417.2934,326.0,-0.2800411
69,426.6868,330.0,-0.2929903
38,405.05203,339.0,-0.19484375
75,437.27374,344.0,-0.2711446
94,424.25363,344.0,-0.23329544
33,432.27185,346.0,-0.24934061
9,468.92566,348.0,-0.34748754
6,445.32645,355.0,-0.2544407
57,475.5963,362.0,-0.31380197
77,453.53986,362.0,-0.25287253
20,469.23242,365.0,-0.28556827
85,421.329,369.0,-0.14181304
43,426.15314,373.0,-0.14250171
81,453.37424,379.0,-0.19623809
76,446.10968,379.0,-0.1770704
31,477.0506,387.0,-0.23268889
0,437.2636,399.0,-0.09589878
78,441.03043,402.0,-0.09709061
2,523.4676,403.0,-0.298927
80,413.71295,419.0,0.012618254
88,492.87988,441.0,-0.11764146
73,443.75717,448.0,0.009470599
48,463.9404,451.0,-0.028692681
28,541.5217,458.0,-0.18236186
58,549.5991,466.0,-0.17939726
95,517.3305,470.0,-0.1007032
26,522.8918,481.0,-0.08709311
96,520.83276,491.0,-0.060759194
65,453.83887,499.0,0.090503275
82,458.19067,503.0,0.08908415
72,519.5049,507.0,-0.024664463
8,495.34418,508.0,0.024913037
25,584.8291,516.0,-0.13338973
63,525.8401,519.0,-0.01317936
47,518.66785,526.0,0.013939455
19,481.91492,536.0,0.10090501
46,548.192,547.0,-0.0021791894
4,551.3834,548.0,-0.0061741294
11,533.9874,549.0,0.027345307
37,549.188,577.0,0.04820106
98,598.69653,591.0,-0.013022899
61,609.16064,601.0,-0.013578444
97,528.9727,603.0,0.12276498
66,570.2863,609.0,0.06356927
30,613.2717,615.0,0.0028101976
60,562.94165,644.0,0.12586701
5,556.22504,650.0,0.14426917
7,671.94226,669.0,-0.004397998
15,644.0792,674.0,0.044392843
44,628.0386,675.0,0.069572486
68,588.8035,689.0,0.14542304
17,690.25476,692.0,0.002522022
74,663.01416,692.0,0.041887052
101,631.44116,695.0,0.09145156
42,657.5369,697.0,0.05661847
10,597.98114,698.0,0.1432935
12,708.349,721.0,0.017546464
1,701.8646,722.0,0.027888332
29,723.1924,724.0,0.0011154934
14,547.9505,727.0,0.24628542
90,651.76294,730.0,0.107174054
89,587.88324,730.0,0.1946805
36,717.85535,741.0,0.03123435
35,637.26764,748.0,0.14803791
56,646.8668,758.0,0.14661369
100,705.0188,766.0,0.07960992
71,738.01324,791.0,0.066987045
53,683.23083,816.0,0.16270731
16,767.6172,826.0,0.07068137
102,803.0204,840.0,0.04402335
34,739.72644,864.0,0.14383514
41,826.6917,868.0,0.047590192
49,771.7247,869.0,0.11193939
39,797.63837,874.0,0.08737029
83,804.3164,885.0,0.091167904
67,770.10944,894.0,0.13858005
92,706.01105,906.0,0.22073835
13,828.1763,926.0,0.10564118
18,891.4786,958.0,0.06943781
21,776.7532,962.0,0.19256426
52,769.1832,965.0,0.20291893
70,876.64246,971.0,0.097175635
59,832.5146,978.0,0.14875808
