,output,target,rel_error
83,54.409767,10.0,4.4409766
107,59.44705,65.0,0.085430026
110,81.38408,80.0,0.017300988
75,66.150215,87.0,0.2396527
178,68.93181,90.0,0.23409101
152,75.93341,92.0,0.17463684
165,78.79156,95.0,0.17061518
93,78.96236,114.0,0.30734774
140,101.47884,137.0,0.2592785
103,127.002365,145.0,0.12412162
99,146.5254,156.0,0.060734577
88,162.87143,157.0,0.037397638
54,192.4991,174.0,0.10631666
132,170.54109,179.0,0.04725647
0,211.47655,202.0,0.0469136
46,211.04791,220.0,0.040691305
98,233.99123,221.0,0.05878383
163,232.74136,229.0,0.016337832
123,245.47668,232.0,0.05808916
136,257.2316,238.0,0.08080503
85,247.00256,242.0,0.02067175
56,263.80585,247.0,0.068039864
66,234.77286,252.0,0.06836168
22,246.93466,255.0,0.031628776
57,252.49188,257.0,0.017541314
150,265.77307,269.0,0.011996018
137,269.77396,274.0,0.015423517
27,286.89966,301.0,0.04684499
86,304.96564,302.0,0.009819991
174,328.48093,329.0,0.001577731
97,337.8168,338.0,0.000542003
134,344.09155,339.0,0.015019329
151,333.1448,360.0,0.07459776
109,367.0549,362.0,0.013963815
126,357.18497,365.0,0.02141105
60,346.89542,373.0,0.06998548
82,359.95728,376.0,0.04266682
127,395.2379,381.0,0.037369855
154,376.8024,390.0,0.033840004
96,413.00604,403.0,0.02482889
26,386.18716,406.0,0.04880009
48,361.44897,419.0,0.13735329
5,437.14752,437.0,0.00033757888
29,454.98904,445.0,0.02244729
157,457.9986,453.0,0.011034429
162,423.0753,454.0,0.068116106
179,461.297,458.0,0.0071986835
74,454.86697,470.0,0.032197926
58,483.858,473.0,0.022955606
76,480.17603,486.0,0.011983487
39,473.86295,493.0,0.038817555
47,489.15527,500.0,0.021689452
90,496.39972,507.0,0.020907851
61,496.37918,507.0,0.020948362
51,491.68536,513.0,0.041548997
1,522.76385,535.0,0.022871299
69,535.562,537.0,0.002677818
144,534.694,540.0,0.009825982
9,558.946,540.0,0.035085157
79,510.55518,553.0,0.07675375
35,527.92737,566.0,0.06726614
168,532.96204,566.0,0.058370963
14,568.426,578.0,0.01656397
170,573.08154,582.0,0.015323809
55,609.47253,601.0,0.014097394
143,627.85535,610.0,0.02927106
160,605.7092,616.0,0.016705798
42,629.1733,623.0,0.009908955
73,629.1471,634.0,0.0076544248
131,654.45056,657.0,0.003880424
124,623.77277,660.0,0.05488975
23,619.90155,660.0,0.060755227
77,631.41547,669.0,0.05618017
101,673.1814,671.0,0.0032509635
28,702.55975,689.0,0.019680338
50,687.1365,697.0,0.014151399
52,676.335,719.0,0.05933933
34,687.3899,721.0,0.046615962
153,737.8026,744.0,0.008329822
141,747.5516,746.0,0.002079859
148,690.9848,748.0,0.07622353
95,733.07605,749.0,0.02126028
130,730.17285,761.0,0.040508736
159,747.7513,766.0,0.023823392
11,757.78284,783.0,0.032205828
117,777.478,812.0,0.042514745
68,813.13574,832.0,0.022673387
169,839.7737,837.0,0.003313837
91,804.04846,840.0,0.04279945
164,842.4942,851.0,0.009995063
3,848.9446,856.0,0.008242313
114,846.29346,866.0,0.022755824
37,885.31256,895.0,0.010823954
15,908.86017,901.0,0.008723827
102,865.6871,906.0,0.044495504
2,920.8087,918.0,0.0030596033
65,904.5132,926.0,0.023203906
121,948.4029,936.0,0.013250954
44,952.68695,943.0,0.010272482
40,951.9861,958.0,0.006277574
92,903.38916,965.0,0.06384543
36,997.98474,980.0,0.018351777
59,972.85925,981.0,0.008298417
167,993.48914,990.0,0.0035243796
8,993.6059,997.0,0.003404317
80,988.9575,1024.0,0.034221172
106,1107.8889,1093.0,0.013622064
138,1099.8804,1129.0,0.025792409
100,1140.7279,1149.0,0.007199386
30,1133.6852,1160.0,0.022685189
158,1154.2744,1192.0,0.031648982
45,1210.1741,1207.0,0.0026297201
49,1180.6978,1218.0,0.030625818
177,1206.9623,1236.0,0.023493301
20,1247.5679,1242.0,0.004482988
21,1229.9551,1243.0,0.010494708
161,1212.7301,1267.0,0.042833384
116,1298.2157,1298.0,0.00016617739
13,1282.3088,1315.0,0.0248602
89,1304.6243,1322.0,0.013143519
84,1384.378,1368.0,0.01197226
24,1391.6193,1369.0,0.01652247
142,1340.1649,1380.0,0.028866002
105,1336.5603,1382.0,0.032879665
111,1387.6118,1402.0,0.010262613
53,1416.5194,1420.0,0.0024511204
145,1392.2762,1421.0,0.02021376
125,1491.7804,1482.0,0.006599457
12,1478.5659,1491.0,0.008339425
94,1470.9182,1516.0,0.029737327
128,1497.9955,1544.0,0.02979567
62,1550.2089,1547.0,0.0020742484
6,1494.7219,1567.0,0.04612513
139,1597.5521,1581.0,0.010469401
146,1621.272,1619.0,0.0014033185
119,1603.2747,1631.0,0.016998984
10,1626.6134,1639.0,0.007557411
156,1646.4636,1641.0,0.0033294472
43,1593.7601,1672.0,0.04679418
7,1639.2449,1687.0,0.028307723
175,1688.3143,1687.0,0.0007790937
25,1682.4734,1689.0,0.0038641866
112,1636.0732,1694.0,0.03419525
149,1707.0596,1695.0,0.007114791
129,1702.4911,1706.0,0.002056806
147,1737.0867,1744.0,0.0039640656
63,1743.3141,1760.0,0.009480633
87,1730.7257,1763.0,0.018306462
31,1767.0732,1764.0,0.0017422008
172,1748.5802,1802.0,0.029644728
173,1805.3849,1847.0,0.022531193
133,1876.0537,1883.0,0.003688948
176,1851.0059,1925.0,0.038438514
32,1919.5044,1944.0,0.01260062
113,1917.8779,1953.0,0.01798365
33,1924.156,1957.0,0.016782828
70,1929.2657,1965.0,0.01818537
67,2002.1715,1993.0,0.004601861
166,1951.4915,1993.0,0.020827167
4,1979.0691,2000.0,0.010465454
118,2031.7573,2015.0,0.00831629
18,2060.319,2086.0,0.012311078
81,2081.243,2087.0,0.0027585435
19,2108.3643,2102.0,0.0030277155
120,2104.0928,2110.0,0.0027996334
38,2090.5845,2141.0,0.023547655
71,2182.227,2195.0,0.005819111
64,2226.108,2273.0,0.020630043
72,2307.6157,2308.0,0.00016649798
17,2311.3525,2336.0,0.010551139
104,2371.1016,2362.0,0.0038533288
122,2375.7686,2423.0,0.019492961
171,2453.2617,2463.0,0.003953829
41,2615.921,2584.0,0.012353289
115,2705.3508,2728.0,0.008302482
155,2796.3425,2758.0,0.013902294
78,2758.351,2781.0,0.008144166
135,2855.9976,2900.0,0.0151732555
16,3316.187,3358.0,0.012451754
108,3452.798,3545.0,0.026008999
